gate,decision,reason
validator,GO,validate_treatment_framework_signed_review_state_persistence_migration_readiness_review.py must pass
ci_static_checks,GO,stage target scope and static guards must pass
online_smoke,GO,smoke_petmed must return ALL PASS and preserve cumulative smoke
signed_review_state_database_write,NO_GO,NO_GO_TO_SIGNED_REVIEW_STATE_DATABASE_WRITE
case_treatment_persistence,NO_GO,NO_GO_TO_CASE_TREATMENT_PERSISTENCE
prescription_write,NO_GO,NO_GO_TO_PRESCRIPTION_WRITE
dose_route_frequency,NO_GO,NO_GO_TO_DOSE_ROUTE_FREQUENCY
migration_creation,NO_GO,migration_file_created=false
schema_change,NO_GO,schema_change_enabled=false
next_stage,GO,GO_TO_TREATMENT_FRAMEWORK_SIGNED_REVIEW_STATE_PERSISTENCE_MIGRATION_DESIGN_V1
