activation_readiness_id,species_group,review_domain,final_go_no_go_status,governance_signoff_record_status,governance_signoff_record_validation_status,clinical_owner_activation_status,second_reviewer_activation_status,source_access_activation_status,copyright_access_activation_status,metadata_only_workspace_status,metadata_only_validation_status,forbidden_value_scanner_status,activation_scope_status,pilot_sample_limit_status,halt_rule_status,collection_activation_allowed_now,collection_execution_started,collection_execution_allowed_now,pilot_execution_allowed_now,dose_output_enabled,governance_decision,next_required_stage,human_review_required,clinician_signoff_required
activation-readiness-rabbit-analgesia_and_pain_control_source_review,rabbit,analgesia_and_pain_control_source_review,defined_no_collection_execution,defined_not_completed,defined_not_executed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,defined_not_populated,defined_not_executed,required_not_validated,defined_as_metadata_only,required_not_started,required_not_started,false,false,false,false,false,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,GO_TO_EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_READINESS_REPORT_V1,true,true
activation-readiness-rabbit-antimicrobial_source_review,rabbit,antimicrobial_source_review,defined_no_collection_execution,defined_not_completed,defined_not_executed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,defined_not_populated,defined_not_executed,required_not_validated,defined_as_metadata_only,required_not_started,required_not_started,false,false,false,false,false,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,GO_TO_EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_READINESS_REPORT_V1,true,true
activation-readiness-rabbit-antiparasitic_source_review,rabbit,antiparasitic_source_review,defined_no_collection_execution,defined_not_completed,defined_not_executed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,defined_not_populated,defined_not_executed,required_not_validated,defined_as_metadata_only,required_not_started,required_not_started,false,false,false,false,false,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,GO_TO_EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_READINESS_REPORT_V1,true,true
activation-readiness-rabbit-fluid_and_supportive_care_source_review,rabbit,fluid_and_supportive_care_source_review,defined_no_collection_execution,defined_not_completed,defined_not_executed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,defined_not_populated,defined_not_executed,required_not_validated,defined_as_metadata_only,required_not_started,required_not_started,false,false,false,false,false,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,GO_TO_EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_READINESS_REPORT_V1,true,true
activation-readiness-rabbit-sedation_anesthesia_risk_source_review,rabbit,sedation_anesthesia_risk_source_review,defined_no_collection_execution,defined_not_completed,defined_not_executed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,defined_not_populated,defined_not_executed,required_not_validated,defined_as_metadata_only,required_not_started,required_not_started,false,false,false,false,false,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,GO_TO_EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_READINESS_REPORT_V1,true,true
activation-readiness-rabbit-emergency_stabilization_source_review,rabbit,emergency_stabilization_source_review,defined_no_collection_execution,defined_not_completed,defined_not_executed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,defined_not_populated,defined_not_executed,required_not_validated,defined_as_metadata_only,required_not_started,required_not_started,false,false,false,false,false,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,GO_TO_EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_READINESS_REPORT_V1,true,true
activation-readiness-bird-analgesia_and_pain_control_source_review,bird,analgesia_and_pain_control_source_review,defined_no_collection_execution,defined_not_completed,defined_not_executed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,defined_not_populated,defined_not_executed,required_not_validated,defined_as_metadata_only,required_not_started,required_not_started,false,false,false,false,false,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,GO_TO_EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_READINESS_REPORT_V1,true,true
activation-readiness-bird-antimicrobial_source_review,bird,antimicrobial_source_review,defined_no_collection_execution,defined_not_completed,defined_not_executed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,defined_not_populated,defined_not_executed,required_not_validated,defined_as_metadata_only,required_not_started,required_not_started,false,false,false,false,false,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,GO_TO_EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_READINESS_REPORT_V1,true,true
activation-readiness-bird-antiparasitic_source_review,bird,antiparasitic_source_review,defined_no_collection_execution,defined_not_completed,defined_not_executed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,defined_not_populated,defined_not_executed,required_not_validated,defined_as_metadata_only,required_not_started,required_not_started,false,false,false,false,false,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,GO_TO_EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_READINESS_REPORT_V1,true,true
activation-readiness-bird-fluid_and_supportive_care_source_review,bird,fluid_and_supportive_care_source_review,defined_no_collection_execution,defined_not_completed,defined_not_executed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,defined_not_populated,defined_not_executed,required_not_validated,defined_as_metadata_only,required_not_started,required_not_started,false,false,false,false,false,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,GO_TO_EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_READINESS_REPORT_V1,true,true
