control_id,control,expected,observed,status,evidence,fail_action
PMAI-P0-04-RRDP-V3-001,stage_id,PMAI-P0-04,PMAI-P0-04,PASS,preparation_document,HOLD
PMAI-P0-04-RRDP-V3-002,substage,RESTORE_RUNNER_DESIGN_PREPARATION_V3,RESTORE_RUNNER_DESIGN_PREPARATION_V3,PASS,preparation_document,HOLD
PMAI-P0-04-RRDP-V3-003,entry_commit,959b15b2ea15f31f19564d553207ce31a31561ce,959b15b2ea15f31f19564d553207ce31a31561ce,PASS,operator_publication_output,HOLD
PMAI-P0-04-RRDP-V3-004,entry_parent,8f7a4a25908e874f406b08e9ae2d1dc9de69db26,8f7a4a25908e874f406b08e9ae2d1dc9de69db26,PASS,operator_publication_output,HOLD
PMAI-P0-04-RRDP-V3-005,github_ci_gate,204,204,PASS,github_screenshot,HOLD
PMAI-P0-04-RRDP-V3-006,github_ci_status,PASS,PASS,PASS,github_screenshot,HOLD
PMAI-P0-04-RRDP-V3-007,repository_clean_at_entry,true,true,PASS,operator_publication_output,HOLD
PMAI-P0-04-RRDP-V3-008,selected_route,ROUTE_C_REBUILD_DEPTH_AWARE_METADATA_INVESTIGATION_CHAIN_V3,ROUTE_C_REBUILD_DEPTH_AWARE_METADATA_INVESTIGATION_CHAIN_V3,PASS,published_evidence,HOLD
PMAI-P0-04-RRDP-V3-009,root_contract_resolved,true,true,PASS,published_v3_evidence,HOLD
PMAI-P0-04-RRDP-V3-010,root_layout,PG_DIRECTORY_ROOT_DEEP_WRAPPED,PG_DIRECTORY_ROOT_DEEP_WRAPPED,PASS,published_v3_evidence,HOLD
PMAI-P0-04-RRDP-V3-011,wrapper_depth,2,2,PASS,published_v3_evidence,HOLD
PMAI-P0-04-RRDP-V3-012,toc_relation,IMMEDIATE_CHILD_OF_IDENTIFIED_LOGICAL_ROOT,IMMEDIATE_CHILD_OF_IDENTIFIED_LOGICAL_ROOT,PASS,published_v3_evidence,HOLD
PMAI-P0-04-RRDP-V3-013,archive_member_count,29,29,PASS,published_v3_evidence,HOLD
PMAI-P0-04-RRDP-V3-014,member_name_set_hash,approved,approved,PASS,published_v3_evidence,HOLD
