check_id,item,status,required,evidence
MFGNG-001,final_go_no_go_only,true,true,TREATMENT_FRAMEWORK_SIGNED_REVIEW_STATE_PERSISTENCE_MIGRATION_FINAL_GO_NO_GO_V1
MFGNG-002,migration_implementation_allowed,true,true,GO_TO_TREATMENT_FRAMEWORK_SIGNED_REVIEW_STATE_PERSISTENCE_MIGRATION_IMPLEMENTATION_V1
MFGNG-003,migration_apply_allowed,false,true,migration_apply_allowed=false
MFGNG-004,database_write_allowed,false,true,writes_database=false
MFGNG-005,migration_enabled,false,true,migration_enabled=false
MFGNG-006,migration_file_created,false,true,migration_file_created=false
MFGNG-007,schema_change_enabled,false,true,schema_change_enabled=false
MFGNG-008,no_case_treatment_write,true,true,no_case_treatment_write=true
MFGNG-009,no_case_treatment_persistence,true,true,no_case_treatment_persistence=true
MFGNG-010,no_prescription_write,true,true,no_prescription_write=true
MFGNG-011,no_dose_route_frequency,true,true,no_dose_route_frequency=true
MFGNG-012,not_client_facing,true,true,not_client_facing=true
MFGNG-013,rollback_plan_required,true,true,rollback_plan_required=true
MFGNG-014,backup_restore_evidence_required,true,true,backup_restore_evidence_required=true
MFGNG-015,authenticated_smoke_required_before_write,true,true,authenticated_smoke_required_before_write=true
MFGNG-016,append_only_audit_linkage_required,true,true,append_only_audit_linkage_required=true
MFGNG-017,requires_human_review,true,true,requires_human_review=true
MFGNG-018,clinician_signoff_required,true,true,clinician_signoff_required=true
