item_id,area,requirement,evidence_source,evidence_status,blocking,notes
EVID-001,stage_scope,Evidence-register phase only; no real staging or production migration.,docs/clinical_data/TREATMENT_FRAMEWORK_SIGNED_REVIEW_STATE_PERSISTENCE_MIGRATION_STAGING_REHEARSAL_EVIDENCE_V1.md,PASS_STATIC,yes,PMAI-P0-01 boundary.
EVID-002,roadmap_alignment,Stage is identified as PMAI-P0-01 Signed Review Migration Staging Rehearsal Evidence.,stage_id=PMAI-P0-01,PASS_STATIC,yes,Does not authorize P0-04 apply.
EVID-003,baseline_commit,Capture the clean synchronized baseline commit.,2c9c9e3d6f47c580d6ded2ba68706f49a0d7a7a2,CAPTURED_REFERENCE,yes,Validator checks the commit exists and is an ancestor of HEAD.
EVID-004,inactive_0010_draft,Capture the inactive draft path and SHA-256 without activating it.,docs/clinical_data/TREATMENT_FRAMEWORK_SIGNED_REVIEW_STATE_PERSISTENCE_MIGRATION_IMPLEMENTATION_ALEMBIC_0010_DRAFT.py.txt sha256=bfab1107e54d888854d685fcab62e4367871acd44c12d2c2bad0a63946a8995d,CAPTURED_REFERENCE,yes,Reference artifact only.
EVID-005,staging_isolation,Record staging environment identity and proof of production isolation.,not collected in this phase,PENDING_EXTERNAL_EVIDENCE,yes,No staging credential or database URL is stored.
EVID-006,pre_migration_revision,Capture authenticated staging pre-migration revision and schema state.,not collected in this phase,PENDING_EXTERNAL_EVIDENCE,yes,Required before any future staging apply.
EVID-007,migration_command_output,Retain exact future staging migration command and complete output.,not executed,NOT_EXECUTED_BY_STAGE,yes,PMAI-P0-01 does not run Alembic.
EVID-008,schema_reference,"Record expected revision, table, columns, indexes, constraints, and downgrade operations from the inactive draft.",docs/clinical_data/TREATMENT_FRAMEWORK_SIGNED_REVIEW_STATE_PERSISTENCE_MIGRATION_STAGING_REHEARSAL_SCHEMA_EVIDENCE_V1.csv,CAPTURED_REFERENCE,yes,Reference evidence is not live schema evidence.
EVID-009,live_schema_verification,"Capture live staging table, column, index, and constraint evidence after future apply.",not observed,PENDING_P0_04,yes,Schema remains unchanged now.
EVID-010,backup_restore,"Record backup ID, restore instance, duration, revision, row counts, and case readback.",not collected,PENDING_P0_02,yes,Next dedicated gate.
EVID-011,rollback_dry_run,"Capture rollback command plan, execution evidence, restored state, and owner.",not collected,PENDING_P0_02,yes,No stamp-head workaround is allowed.
EVID-012,authenticated_staging_smoke,"Verify authenticated owner scope, workflow payload, idempotency, and failure rollback.",docs/clinical_data/TREATMENT_FRAMEWORK_SIGNED_REVIEW_STATE_PERSISTENCE_MIGRATION_STAGING_REHEARSAL_SMOKE_EVIDENCE_V1.csv,PENDING_P0_03,yes,No write-capable request in this phase.
EVID-013,production_hard_gate,Production remains at revision/head 0009 with schema_ok and no migration errors.,scripts/smoke_petmed.sh live hard gate,PASS_RUNTIME_REQUIRED,yes,Cumulative smoke must pass.
EVID-014,active_migration_absence,No active backend/migrations/versions/0010*.py file exists.,validator filesystem check,PASS_STATIC,yes,Fails closed.
EVID-015,write_and_client_safety,"No database, Case.treatment, prescription, medication-detail, or client-facing release.",docs/clinical_data/TREATMENT_FRAMEWORK_SIGNED_REVIEW_STATE_PERSISTENCE_MIGRATION_STAGING_REHEARSAL_EVIDENCE_V1.md,PASS_STATIC,yes,All dangerous flags remain false.
EVID-016,next_decision,Advance only to rollback and restore evidence.,GO_TO_TREATMENT_FRAMEWORK_SIGNED_REVIEW_STATE_PERSISTENCE_MIGRATION_ROLLBACK_RESTORE_EVIDENCE_V1,PASS_STATIC,yes,Still NO-GO for staging migration apply.
