control_id,control,expected,current,status,evidence_source,stop_if
PMAI-P0-04-ARCIP-001,repository_only,true,true,PASS,preparation_package,not true
PMAI-P0-04-ARCIP-002,entry_main,65e51ab64845083f47a2e397abf0f0a739c51a72,65e51ab64845083f47a2e397abf0f0a739c51a72,PASS,git_baseline,mismatch
PMAI-P0-04-ARCIP-003,entry_ci_gate,193 PASS,193 PASS,PASS,github_evidence,mismatch
PMAI-P0-04-ARCIP-004,fresh_restore_governance_route_b_approved,true,true,PASS,prior_decision,false
PMAI-P0-04-ARCIP-005,archive_root_contract_investigation_preparation_complete,true,true,PASS,preparation_package,false
PMAI-P0-04-ARCIP-006,ready_for_separate_archive_root_contract_investigation_authorization_review,true,true,PASS,preparation_package,false
PMAI-P0-04-ARCIP-007,archive_root_contract_investigation_authorized,false,false,PASS,preparation_package,true
PMAI-P0-04-ARCIP-008,archive_root_contract_investigation_execution_authorized,false,false,PASS,preparation_package,true
PMAI-P0-04-ARCIP-009,archive_listing_attempt_authorized,false,false,PASS,preparation_package,true
PMAI-P0-04-ARCIP-010,backup_archive_listing_invoked,false,false,PASS,preparation_package,true
PMAI-P0-04-ARCIP-011,backup_archive_member_headers_read,false,false,PASS,preparation_package,true
PMAI-P0-04-ARCIP-012,backup_archive_member_payload_read,false,false,PASS,preparation_package,true
PMAI-P0-04-ARCIP-013,backup_archive_extracted,false,false,PASS,preparation_package,true
PMAI-P0-04-ARCIP-014,backup_archive_copied,false,false,PASS,preparation_package,true
PMAI-P0-04-ARCIP-015,backup_archive_uploaded,false,false,PASS,preparation_package,true
PMAI-P0-04-ARCIP-016,backup_archive_modified,false,false,PASS,preparation_package,true
PMAI-P0-04-ARCIP-017,backup_archive_repackaged,false,false,PASS,preparation_package,true
PMAI-P0-04-ARCIP-018,approved_backup_sha256,ea7b5a69231f50e54bd0a9da5b8eab4dde04d763853bef824564c4c66d2fa8a7,ea7b5a69231f50e54bd0a9da5b8eab4dde04d763853bef824564c4c66d2fa8a7,PASS,prior_evidence,mismatch
PMAI-P0-04-ARCIP-019,prior_archive_member_count,29,29,PASS,prior_evidence,mismatch
PMAI-P0-04-ARCIP-020,prior_benign_root_directory_entries,1,1,PASS,prior_evidence,mismatch
PMAI-P0-04-ARCIP-021,approved_backup_toc_entry_count,433,433,PASS,prior_evidence,mismatch
PMAI-P0-04-ARCIP-022,prior_root_contract_resolution_reusable,false,false,PASS,preparation_package,true
PMAI-P0-04-ARCIP-023,root_contract_resolved,false,false,PASS,preparation_package,true
PMAI-P0-04-ARCIP-024,planned_member_payload_read_scope,FORBIDDEN,FORBIDDEN,PASS,preparation_package,mismatch
PMAI-P0-04-ARCIP-025,planned_member_extraction_scope,FORBIDDEN,FORBIDDEN,PASS,preparation_package,mismatch
PMAI-P0-04-ARCIP-026,planned_raw_member_list_output,false,false,PASS,preparation_package,true
PMAI-P0-04-ARCIP-027,common_root_repository_value,HASH_ONLY,HASH_ONLY,PASS,preparation_package,mismatch
PMAI-P0-04-ARCIP-028,raw_archive_listing_repository_value,FORBIDDEN,FORBIDDEN,PASS,preparation_package,mismatch
PMAI-P0-04-ARCIP-029,legacy_runner_v1_reuse_allowed,false,false,PASS,prior_decision,true
PMAI-P0-04-ARCIP-030,legacy_runner_v2_reuse_allowed,false,false,PASS,prior_decision,true
PMAI-P0-04-ARCIP-031,new_restore_runner_design_authorized,false,false,PASS,preparation_package,true
PMAI-P0-04-ARCIP-032,new_disposable_target_authorized,false,false,PASS,preparation_package,true
PMAI-P0-04-ARCIP-033,database_connection,false,false,PASS,preparation_package,true
PMAI-P0-04-ARCIP-034,restore_execution,false,false,PASS,preparation_package,true
PMAI-P0-04-ARCIP-035,migration_created,false,false,PASS,preparation_package,true
PMAI-P0-04-ARCIP-036,application_deployment,false,false,PASS,preparation_package,true
PMAI-P0-04-ARCIP-037,resource_deleted,false,false,PASS,preparation_package,true
PMAI-P0-04-ARCIP-038,backup_restoreability_verified,false,false,PASS,preparation_package,true
PMAI-P0-04-ARCIP-039,disposable_restore_rehearsal_complete,false,false,PASS,preparation_package,true
PMAI-P0-04-ARCIP-040,next_action,SEPARATE_ARCHIVE_ROOT_CONTRACT_INVESTIGATION_AUTHORIZATION_REVIEW_V1,SEPARATE_ARCHIVE_ROOT_CONTRACT_INVESTIGATION_AUTHORIZATION_REVIEW_V1,PASS,preparation_package,mismatch
