item,required,status,evidence
persistence_dry_run_only,true,PASS,treatment_framework_signed_review_state_persistence_dry_run_v1
requires_clinician_confirmed_diagnosis,true,PASS,confirmation_source=clinician and ai_generated=false required
ai_does_not_confirm_diagnosis,true,PASS,AI generated diagnosis rejected
signed_review_state_preview_required,true,PASS,signed_review_state_preview required
audit_log_reference_required,true,PASS,audit reference required before persistence dry-run
persistence_enabled_false,true,PASS,persistence_enabled=false
signed_review_state_persistence_enabled_false,true,PASS,signed_review_state_persistence_enabled=false
review_state_persistence_enabled_false,true,PASS,review_state_persistence_enabled=false
migration_readiness_required,true,PASS,migration_readiness_required=true
no_case_treatment_write,true,PASS,writes_case_treatment=false
no_prescription_write,true,PASS,writes_prescription=false
no_dose_route_frequency,true,PASS,returns_drug_dose=false / route=false / frequency=false
not_client_facing,true,PASS,not_client_facing=true
requires_human_review,true,PASS,requires_human_review=true
clinician_signoff_required,true,PASS,clinician_signoff_required=true
next_decision,true,PASS,GO_TO_CASE_DETAIL_TREATMENT_FRAMEWORK_SIGNED_REVIEW_STATE_PERSISTENCE_UI_V1
