phase,item,owner,expected_result,hard_stop_if_failed,status,evidence,notes
t_minus_30,GitHub Actions green,release_owner,latest run green,yes,,,
t_minus_30,Online smoke,operator,ALL PASS,yes,,,
t_minus_30,System version,operator,schema_ok true and database_revision 0008_auto_delivery,yes,,,
t_minus_30,Provider sandbox evidence,developer,sandbox result available,yes,,,
t_minus_30,Kill switch test,release_owner,all delivery flags can be disabled,yes,,,
t_minus_30,Rollback owner online,rollback_owner,reachable during window,yes,,,
t_minus_30,Security owner reachable,security_owner,reachable during window,yes,,,
t_minus_30,Clinical ops approval,clinical_ops_owner,candidate list approved,yes,,,
t_minus_10,Final dry-run,operator,all candidates have dry-run evidence,yes,,,
t_minus_10,Opt-out recheck,front_desk_owner,no candidate opted out,yes,,,
t_minus_10,Quiet hours recheck,operator,within allowed window,yes,,,
t_minus_10,Rate limit recheck,developer,limits not exceeded,yes,,,
during,Send candidate one,operator,one controlled action only,yes,,,
during,Observe logs,rollback_owner,no error spike and no secret leak,yes,,,
during,Clinical monitor,clinical_ops_owner,no safety concern,yes,,,
after_each,Record result,operator,status recorded,yes,,,
after_each,Duplicate check,developer,no duplicate delivery,yes,,,
after_window,Disable live flag,release_owner,ENABLE_PREVENTIVE_AUTO_DELIVERY=false,yes,,,
after_window,Run online smoke,operator,ALL PASS,yes,,,
after_window,Log secret check,security_owner,no secret leak,yes,,,
after_window,Complete pilot report,release_owner,report completed,yes,,,
