gate,expected,decision_if_failed
validator,PASS,NO-GO
ci_static_checks,PASS,NO-GO
online_smoke,ALL_PASS,NO-GO
production_database_revision,0009_diag_data,NO-GO
production_alembic_head,0009_diag_data,NO-GO
production_schema_ok,true,NO-GO
migration_errors,[],NO-GO
dangerous_feature_flags_disabled,true,NO-GO
treatment_framework_dry_run_endpoint_smoke,PASS,NO-GO
requires_clinician_confirmed_diagnosis,true,NO-GO
ai_does_not_confirm_diagnosis,true,NO-GO
read_only,true,NO-GO
writes_database,false,NO-GO
writes_case_treatment,false,NO-GO
creates_prescription,false,NO-GO
writes_prescription,false,NO-GO
returns_drug_dose,false,NO-GO
returns_drug_route,false,NO-GO
returns_drug_frequency,false,NO-GO
not_client_facing,true,NO-GO
requires_human_review,true,NO-GO
clinician_signoff_required,true,NO-GO
final_decision,GO_TO_CASE_DETAIL_TREATMENT_FRAMEWORK_PREVIEW_UI_V1,NO-GO
