gate,expected,status
validator,PASS,required
ci_static_checks,PASS,required
online_smoke,ALL_PASS,required
production_database_revision,0009_diag_data,required
production_alembic_head,0009_diag_data,required
production_schema_ok,true,required
dangerous_feature_flags_disabled,true,required
read_only,true,required
writes_database,false,required
writes_ai_summary,false,required
writes_audit_log,false,required
persists_reasoning_trace,false,required
generates_final_diagnosis,false,required
creates_treatment_plan,false,required
writes_prescription,false,required
returns_drug_dose,false,required
requires_human_review,true,required
clinician_signoff_required,true,required
decision,GO_TO_OPS_DASHBOARD_CLINICAL_CORE_V2,required
