item_id,control,required,repository_observation,current_status,decision_if_failed
PMAI-P0-04-ARR-V3-SRBE-V5-PREP-C001,remote base commit,19327dd0c1c5141d391716d6844f230ec35efa6a,19327dd0c1c5141d391716d6844f230ec35efa6a,PASS,HOLD_NO_WRITE
PMAI-P0-04-ARR-V3-SRBE-V5-PREP-C002,remote base tree,1c1a4cd8053b47107d47a9df3b281d1bac487e78,1c1a4cd8053b47107d47a9df3b281d1bac487e78,PASS,HOLD_NO_WRITE
PMAI-P0-04-ARR-V3-SRBE-V5-PREP-C003,source pull request,21,21,PASS,HOLD_NO_WRITE
PMAI-P0-04-ARR-V3-SRBE-V5-PREP-C004,source CI gate number and status,230_PASS,230_PASS,PASS,HOLD_NO_WRITE
PMAI-P0-04-ARR-V3-SRBE-V5-PREP-C005,exact head branch,pmai-p0-04-arr-v3-srbe-v5-operational-adapter-prep-v2,pmai-p0-04-arr-v3-srbe-v5-operational-adapter-prep-v2,PASS,HOLD_NO_WRITE
PMAI-P0-04-ARR-V3-SRBE-V5-PREP-C006,exact changed path count,13,13,PASS,HOLD_NO_WRITE
PMAI-P0-04-ARR-V3-SRBE-V5-PREP-C007,exact new file count maximum,12,12,PASS,HOLD_NO_WRITE
PMAI-P0-04-ARR-V3-SRBE-V5-PREP-C008,exact existing file modification count,1,1,PASS,HOLD_NO_WRITE
PMAI-P0-04-ARR-V3-SRBE-V5-PREP-C009,path sequence hash,59e58e5f3511fe8f666b3f9391d61a1814b140b4f73e4d437c5816ef97042a31,59e58e5f3511fe8f666b3f9391d61a1814b140b4f73e4d437c5816ef97042a31,PASS,HOLD_NO_WRITE
PMAI-P0-04-ARR-V3-SRBE-V5-PREP-C010,manifest member count and self exclusion,11_SELF_EXCLUDED,11_SELF_EXCLUDED,PASS,HOLD_NO_WRITE
PMAI-P0-04-ARR-V3-SRBE-V5-PREP-C011,six immutable V4 package members plus current validator and manifest preserved byte exact,true,true,PASS,HOLD_NO_WRITE
PMAI-P0-04-ARR-V3-SRBE-V5-PREP-C012,V4 external access started,false,false,PASS,HOLD
PMAI-P0-04-ARR-V3-SRBE-V5-PREP-C013,V4 attempts consumed,0,0,PASS,HOLD
PMAI-P0-04-ARR-V3-SRBE-V5-PREP-C014,V4 future live reuse,false,false,PASS,HOLD
PMAI-P0-04-ARR-V3-SRBE-V5-PREP-C015,V5 live execution authorized,false,false,PASS,HOLD
PMAI-P0-04-ARR-V3-SRBE-V5-PREP-C016,V5 current attempts authorized,0,0,PASS,HOLD
PMAI-P0-04-ARR-V3-SRBE-V5-PREP-C017,repository patch consumes collection attempt,false,false,PASS,HOLD
PMAI-P0-04-ARR-V3-SRBE-V5-PREP-C018,provider identity domain shared by target production staging,PROVIDER_CONNECTION_TUPLE_V5,PROVIDER_CONNECTION_TUPLE_V5,PASS,HOLD
PMAI-P0-04-ARR-V3-SRBE-V5-PREP-C019,provider identity hashes pairwise distinct,true,STATIC_CONTRACT,PASS,HOLD
