phase,item,owner,location,expected_result,hard_stop_if_failed,status,evidence,notes
preflight,GitHub Actions latest run,developer,GitHub Actions Pet-Med-AI CI Gate,green,yes,,,
preflight,CI static checks,developer,bash scripts/ci_static_checks.sh,PASS,yes,,,
preflight,Online smoke,operator,BASE_URL=https://pet-med-ai-backend.onrender.com bash scripts/smoke_petmed.sh,ALL PASS,yes,,,
preflight,Frontend deploy,operator,Render frontend static site,deploy live,yes,,,
preflight,Backend deploy,operator,Render backend service,deploy live,yes,,,
preflight,Schema alignment,operator,/api/system/version,database_revision equals alembic_head,yes,,,
preflight,Preventive migration,operator,/api/system/version or Alembic current,0007_preventive_care,yes,,,
browser,Login,operator,production frontend,login success,yes,,,
browser,Open Ops Dashboard,operator,/ops,page loads,yes,,,
browser,Preventive Ops section visible,operator,/ops,Preventive Care Reminder Ops Dashboard V1 visible,yes,,,
browser,Preventive attention card,operator,/ops,card visible,yes,,,
browser,Reminders open card,operator,/ops,card visible,yes,,,
browser,Due today card,operator,/ops,card visible,yes,,,
browser,Queue needs review card,operator,/ops,card visible,yes,,,
browser,Manual contacted card,operator,/ops,card visible,yes,,,
browser,Blocked opt-out card,operator,/ops,card visible,yes,,,
browser,Recent events 30d card,operator,/ops,card visible,yes,,,
network,Summary endpoint status,operator,DevTools Network,GET /api/preventive-care/ops/summary returns 200,yes,,,
network,Summary message,operator,Network response,message preventive_care_ops_summary,yes,,,
safety,Read-only gate,operator,/ops safety table,read_only true and writes_database false,yes,,,
safety,No external send gate,operator,/ops safety table,auto_send false and sends_external_message false,yes,,,
safety,Manual review gate,operator,/ops safety table,manual_review_required true,yes,,,
navigation,Queue link,operator,/ops Preventive Queue link,/preventive-care/notification-queue opens,yes,,,
security,Console secret check,security_owner,DevTools Console,no SECRET TOKEN KEY PASSWORD values,yes,,,
closeout,Record evidence,release_owner,evidence template,all evidence captured,yes,,,
