engine_major,18
database_revision,0009_diag_data
alembic_head_expected,0009_diag_data
treatment_framework_signed_review_states_present,false
schema_ok,true
migration_errors,[]
row_count.cases,1
row_count.consult_sessions,1
row_count.diagnostic_reports,1
row_count.observations,1
row_count.imaging_studies,1
row_count.audit_log,1
orphan.diagnostic_reports.case,0
orphan.observations.case,0
orphan.observations.report,0
orphan.imaging_studies.case,0
orphan.audit_log.case,0
sample.case_present,true
sample.case_token,b7948013679367cecc45911823a73a53
sample.consult_sessions,1
sample.diagnostic_reports,1
sample.observations,1
sample.imaging_studies,1
sample.audit_log,1
sample.link_total,5
sample.has_linked_data,true
