control_id,control,expected,current,status,evidence_source,hard_stop_if
PMAI-P0-04-ARR-V3-CAP-001,stage_id,PMAI-P0-04,PMAI-P0-04,PASS,preparation_document,mismatch
PMAI-P0-04-ARR-V3-CAP-002,substage,ACTIVE_RESTORE_RUNNER_V3_CREATION_AND_ACTIVATION_PREPARATION_V1,ACTIVE_RESTORE_RUNNER_V3_CREATION_AND_ACTIVATION_PREPARATION_V1,PASS,preparation_document,mismatch
PMAI-P0-04-ARR-V3-CAP-003,entry_commit,b13a790b9f1803a52e51598523c17779a4a7397a,b13a790b9f1803a52e51598523c17779a4a7397a,PASS,git_baseline,mismatch
PMAI-P0-04-ARR-V3-CAP-004,github_ci_gate,212|PASS,212|PASS,PASS,github_ci_evidence,not_pass
PMAI-P0-04-ARR-V3-CAP-005,repository_clean_at_entry,true,true,PASS,git_baseline,false
PMAI-P0-04-ARR-V3-CAP-006,implementation_candidate_sha256,91b9ba1da8cc290fd94a17b4c57c673be0a805ae25f1ddb0ace69922ff9e2081,91b9ba1da8cc290fd94a17b4c57c673be0a805ae25f1ddb0ace69922ff9e2081,PASS,repository_hash,mismatch
PMAI-P0-04-ARR-V3-CAP-007,design_candidate_sha256,98d6cd0a1f01c551d6f43bae484842ff75163f5a3ea1fb0c600ef85167c0c31b,98d6cd0a1f01c551d6f43bae484842ff75163f5a3ea1fb0c600ef85167c0c31b,PASS,repository_hash,mismatch
PMAI-P0-04-ARR-V3-CAP-008,locked_runner_sha256,c50002898763c0b7e6aa618d2728f8595496c5c4bb57e300aedbc4d59bbde23f,c50002898763c0b7e6aa618d2728f8595496c5c4bb57e300aedbc4d59bbde23f,PASS,repository_hash,mismatch
PMAI-P0-04-ARR-V3-CAP-009,target_contract_identity_sha256,e57fbfce3e490cdf185f83e9e376b20fe0ef665fbe293a512a6298d8a6420744,e57fbfce3e490cdf185f83e9e376b20fe0ef665fbe293a512a6298d8a6420744,PASS,published_target_evidence,mismatch
PMAI-P0-04-ARR-V3-CAP-010,target_status,AVAILABLE,AVAILABLE,PASS,published_target_evidence,mismatch
PMAI-P0-04-ARR-V3-CAP-011,planned_active_runner_path_present,false,false,PASS,repository_scan,true
PMAI-P0-04-ARR-V3-CAP-012,activation_authorization_record_id,UNBOUND,UNBOUND,PASS,implementation_candidate,bound_without_review
PMAI-P0-04-ARR-V3-CAP-013,expected_active_source_sha256,UNBOUND,UNBOUND,PASS,implementation_candidate,bound_without_review
PMAI-P0-04-ARR-V3-CAP-014,expected_runtime_target_identity_sha256,UNBOUND,UNBOUND,PASS,implementation_candidate,bound_without_review
PMAI-P0-04-ARR-V3-CAP-015,forbidden_production_identity_sha256,UNBOUND,UNBOUND,PASS,implementation_candidate,bound_without_review
PMAI-P0-04-ARR-V3-CAP-016,forbidden_staging_identity_sha256,UNBOUND,UNBOUND,PASS,implementation_candidate,bound_without_review
PMAI-P0-04-ARR-V3-CAP-017,expected_schema_manifest_sha256,UNBOUND,UNBOUND,PASS,implementation_candidate,bound_without_review
PMAI-P0-04-ARR-V3-CAP-018,active_restore_runner_created,false,false,PASS,preparation_boundary,true
PMAI-P0-04-ARR-V3-CAP-019,restore_runner_activated,false,false,PASS,preparation_boundary,true
PMAI-P0-04-ARR-V3-CAP-020,restore_runner_executed,false,false,PASS,preparation_boundary,true
PMAI-P0-04-ARR-V3-CAP-021,archive_file_opened,false,false,PASS,preparation_boundary,true
PMAI-P0-04-ARR-V3-CAP-022,backup_archive_listing_invoked,false,false,PASS,preparation_boundary,true
PMAI-P0-04-ARR-V3-CAP-023,backup_archive_member_payload_read,false,false,PASS,preparation_boundary,true
PMAI-P0-04-ARR-V3-CAP-024,credential_collection_performed,false,false,PASS,preparation_boundary,true
PMAI-P0-04-ARR-V3-CAP-025,database_connection,false,false,PASS,preparation_boundary,true
PMAI-P0-04-ARR-V3-CAP-026,database_write,false,false,PASS,preparation_boundary,true
PMAI-P0-04-ARR-V3-CAP-027,restore_execution,false,false,PASS,preparation_boundary,true
PMAI-P0-04-ARR-V3-CAP-028,pg_restore_invoked,false,false,PASS,preparation_boundary,true
PMAI-P0-04-ARR-V3-CAP-029,psql_invoked,false,false,PASS,preparation_boundary,true
PMAI-P0-04-ARR-V3-CAP-030,alembic_invoked,false,false,PASS,preparation_boundary,true
PMAI-P0-04-ARR-V3-CAP-031,migration_created,false,false,PASS,preparation_boundary,true
PMAI-P0-04-ARR-V3-CAP-032,migration_executed,false,false,PASS,preparation_boundary,true
PMAI-P0-04-ARR-V3-CAP-033,target_modified,false,false,PASS,preparation_boundary,true
PMAI-P0-04-ARR-V3-CAP-034,target_deleted,false,false,PASS,preparation_boundary,true
PMAI-P0-04-ARR-V3-CAP-035,application_deployment,false,false,PASS,preparation_boundary,true
PMAI-P0-04-ARR-V3-CAP-036,resource_deleted,false,false,PASS,preparation_boundary,true
PMAI-P0-04-ARR-V3-CAP-037,automatic_retry_allowed,false,false,PASS,preparation_contract,true
PMAI-P0-04-ARR-V3-CAP-038,manual_retry_allowed,false,false,PASS,preparation_contract,true
PMAI-P0-04-ARR-V3-CAP-039,one_time_restore_execution_authorized,false,false,PASS,preparation_contract,true
PMAI-P0-04-ARR-V3-CAP-040,backup_restoreability_verified,false,false,PASS,preparation_boundary,true
PMAI-P0-04-ARR-V3-CAP-041,disposable_restore_rehearsal_complete,false,false,PASS,preparation_boundary,true
