evidence_id,smoke_area,requirement,evidence_source,observed_state,evidence_status,blocking,notes
SMK-001,production_version_hard_gate,"Production reports revision/head 0009, schema_ok, no migration errors, and no DB URL exposure.",scripts/smoke_petmed.sh check_system_version,REQUIRED_AT_RUNTIME,PASS_WHEN_CUMULATIVE_SMOKE_PASSES,yes,Live check remains read-only.
SMK-002,dangerous_feature_flags,All listed dangerous flags remain false.,scripts/smoke_petmed.sh check_feature_flags,REQUIRED_AT_RUNTIME,PASS_WHEN_CUMULATIVE_SMOKE_PASSES,yes,No hidden write path.
SMK-003,frontend_reachability,Current frontend remains reachable.,scripts/smoke_petmed.sh check_frontend,REQUIRED_AT_RUNTIME,PASS_WHEN_CUMULATIVE_SMOKE_PASSES,yes,No client-facing treatment release.
SMK-004,previous_stage_compatibility,Dry-run artifacts and decision continuity remain present without re-running a stage-scoped historical validator.,dry-run compatibility gate in scripts/smoke_petmed.sh,STATIC_COMPATIBILITY_GATE,PASS_STATIC,yes,Prevents future CI TARGETS drift from breaking cumulative smoke.
SMK-005,current_stage_validator,Evidence validator executes before final ALL PASS: smoke_petmed.,evidence runtime gate in scripts/smoke_petmed.sh,RUNTIME_GATE_REQUIRED,PASS_WHEN_CUMULATIVE_SMOKE_PASSES,yes,Literal source leakage is forbidden.
SMK-006,staging_authentication,Use a real staging clinician identity and a dedicated staging case.,not collected,NOT_EXECUTED,PENDING_P0_03,yes,No credentials are stored in this repository.
SMK-007,owner_scope,User B cannot read or mutate user A signed-review evidence.,not collected,NOT_EXECUTED,PENDING_P0_03,yes,Authenticated payload smoke required.
SMK-008,signed_review_workflow,"Build, clinician review, signed-state preview, persistence prepare, and readback use the correct case and review.",not collected,NOT_EXECUTED,PENDING_P0_03,yes,No write-capable path in this phase.
SMK-009,idempotency,Repeated future request does not create duplicate signed-state rows.,not collected,NOT_EXECUTED,PENDING_P0_03,yes,Must be proven before controlled write.
SMK-010,failure_rollback,Failed future request leaves no partial signed-state or audit linkage.,not collected,NOT_EXECUTED,PENDING_P0_03,yes,Transaction failure path required.
SMK-011,clinical_output_boundary,"No medication amount, route, frequency, prescription, or client-facing AI diagnosis output.",docs/clinical_data/TREATMENT_FRAMEWORK_SIGNED_REVIEW_STATE_PERSISTENCE_MIGRATION_STAGING_REHEARSAL_EVIDENCE_V1.md,STATIC_NO_OUTPUT_BOUNDARY,PASS_STATIC,yes,Clinician review boundary remains intact.
SMK-012,final_pass_ordering,Current-stage validator completes before final smoke PASS and no shell source block is printed.,validator structural check,RUNTIME_GATE_REQUIRED,PASS_WHEN_CUMULATIVE_SMOKE_PASSES,yes,Guards against the prior quoted-block defect.
