registry_id,species_group,review_domain,registry_scope,allowed_source_types,required_metadata,review_controls,source_capture_status,dose_output_enabled,captures_numeric_dose_value,captures_route_or_frequency_text,prescription_instruction_allowed,review_status,next_action
exotics_source_registry_rabbit_analgesia_and_pain_control_source_review,rabbit,analgesia_and_pain_control_source_review,source_metadata_registry_only,peer_reviewed_article_metadata_only;exotics_textbook_metadata_only;exotics_formulary_metadata_only;specialty_conference_proceedings_metadata_only;manufacturer_label_or_safety_sheet_metadata_only;institutional_protocol_candidate_metadata_only;expert_review_note_metadata_only,citation_key;source_type;publication_or_edition_metadata;species_applicability_note;reviewer_initials,human_review_required;second_review_required;conflict_check_required;no_medication_instruction_capture,not_started,false,false,false,false,registry_slot_created_not_populated,collect_source_metadata_without_medication_instructions
exotics_source_registry_rabbit_antimicrobial_source_review,rabbit,antimicrobial_source_review,source_metadata_registry_only,peer_reviewed_article_metadata_only;exotics_textbook_metadata_only;exotics_formulary_metadata_only;specialty_conference_proceedings_metadata_only;manufacturer_label_or_safety_sheet_metadata_only;institutional_protocol_candidate_metadata_only;expert_review_note_metadata_only,citation_key;source_type;publication_or_edition_metadata;species_applicability_note;reviewer_initials,human_review_required;second_review_required;conflict_check_required;no_medication_instruction_capture,not_started,false,false,false,false,registry_slot_created_not_populated,collect_source_metadata_without_medication_instructions
exotics_source_registry_rabbit_antiparasitic_source_review,rabbit,antiparasitic_source_review,source_metadata_registry_only,peer_reviewed_article_metadata_only;exotics_textbook_metadata_only;exotics_formulary_metadata_only;specialty_conference_proceedings_metadata_only;manufacturer_label_or_safety_sheet_metadata_only;institutional_protocol_candidate_metadata_only;expert_review_note_metadata_only,citation_key;source_type;publication_or_edition_metadata;species_applicability_note;reviewer_initials,human_review_required;second_review_required;conflict_check_required;no_medication_instruction_capture,not_started,false,false,false,false,registry_slot_created_not_populated,collect_source_metadata_without_medication_instructions
exotics_source_registry_rabbit_fluid_and_supportive_care_source_review,rabbit,fluid_and_supportive_care_source_review,source_metadata_registry_only,peer_reviewed_article_metadata_only;exotics_textbook_metadata_only;exotics_formulary_metadata_only;specialty_conference_proceedings_metadata_only;manufacturer_label_or_safety_sheet_metadata_only;institutional_protocol_candidate_metadata_only;expert_review_note_metadata_only,citation_key;source_type;publication_or_edition_metadata;species_applicability_note;reviewer_initials,human_review_required;second_review_required;conflict_check_required;no_medication_instruction_capture,not_started,false,false,false,false,registry_slot_created_not_populated,collect_source_metadata_without_medication_instructions
exotics_source_registry_rabbit_sedation_anesthesia_risk_source_review,rabbit,sedation_anesthesia_risk_source_review,source_metadata_registry_only,peer_reviewed_article_metadata_only;exotics_textbook_metadata_only;exotics_formulary_metadata_only;specialty_conference_proceedings_metadata_only;manufacturer_label_or_safety_sheet_metadata_only;institutional_protocol_candidate_metadata_only;expert_review_note_metadata_only,citation_key;source_type;publication_or_edition_metadata;species_applicability_note;reviewer_initials,human_review_required;second_review_required;conflict_check_required;no_medication_instruction_capture,not_started,false,false,false,false,registry_slot_created_not_populated,collect_source_metadata_without_medication_instructions
exotics_source_registry_rabbit_emergency_stabilization_source_review,rabbit,emergency_stabilization_source_review,source_metadata_registry_only,peer_reviewed_article_metadata_only;exotics_textbook_metadata_only;exotics_formulary_metadata_only;specialty_conference_proceedings_metadata_only;manufacturer_label_or_safety_sheet_metadata_only;institutional_protocol_candidate_metadata_only;expert_review_note_metadata_only,citation_key;source_type;publication_or_edition_metadata;species_applicability_note;reviewer_initials,human_review_required;second_review_required;conflict_check_required;no_medication_instruction_capture,not_started,false,false,false,false,registry_slot_created_not_populated,collect_source_metadata_without_medication_instructions
exotics_source_registry_bird_analgesia_and_pain_control_source_review,bird,analgesia_and_pain_control_source_review,source_metadata_registry_only,peer_reviewed_article_metadata_only;exotics_textbook_metadata_only;exotics_formulary_metadata_only;specialty_conference_proceedings_metadata_only;manufacturer_label_or_safety_sheet_metadata_only;institutional_protocol_candidate_metadata_only;expert_review_note_metadata_only,citation_key;source_type;publication_or_edition_metadata;species_applicability_note;reviewer_initials,human_review_required;second_review_required;conflict_check_required;no_medication_instruction_capture,not_started,false,false,false,false,registry_slot_created_not_populated,collect_source_metadata_without_medication_instructions
exotics_source_registry_bird_antimicrobial_source_review,bird,antimicrobial_source_review,source_metadata_registry_only,peer_reviewed_article_metadata_only;exotics_textbook_metadata_only;exotics_formulary_metadata_only;specialty_conference_proceedings_metadata_only;manufacturer_label_or_safety_sheet_metadata_only;institutional_protocol_candidate_metadata_only;expert_review_note_metadata_only,citation_key;source_type;publication_or_edition_metadata;species_applicability_note;reviewer_initials,human_review_required;second_review_required;conflict_check_required;no_medication_instruction_capture,not_started,false,false,false,false,registry_slot_created_not_populated,collect_source_metadata_without_medication_instructions
exotics_source_registry_bird_antiparasitic_source_review,bird,antiparasitic_source_review,source_metadata_registry_only,peer_reviewed_article_metadata_only;exotics_textbook_metadata_only;exotics_formulary_metadata_only;specialty_conference_proceedings_metadata_only;manufacturer_label_or_safety_sheet_metadata_only;institutional_protocol_candidate_metadata_only;expert_review_note_metadata_only,citation_key;source_type;publication_or_edition_metadata;species_applicability_note;reviewer_initials,human_review_required;second_review_required;conflict_check_required;no_medication_instruction_capture,not_started,false,false,false,false,registry_slot_created_not_populated,collect_source_metadata_without_medication_instructions
exotics_source_registry_bird_fluid_and_supportive_care_source_review,bird,fluid_and_supportive_care_source_review,source_metadata_registry_only,peer_reviewed_article_metadata_only;exotics_textbook_metadata_only;exotics_formulary_metadata_only;specialty_conference_proceedings_metadata_only;manufacturer_label_or_safety_sheet_metadata_only;institutional_protocol_candidate_metadata_only;expert_review_note_metadata_only,citation_key;source_type;publication_or_edition_metadata;species_applicability_note;reviewer_initials,human_review_required;second_review_required;conflict_check_required;no_medication_instruction_capture,not_started,false,false,false,false,registry_slot_created_not_populated,collect_source_metadata_without_medication_instructions
