gate,required_value,actual_value,decision
validator,PASS,,
ci_static_checks,PASS,,
online_smoke,ALL_PASS,,
current_level,rabbit_deepened_triage_scaffold_not_comprehensive_clinical_kb,,
source_review_status,required_not_started,,
drug_dose_status,not_reviewed_not_enabled,,
writes_database,false,,
generates_final_diagnosis,false,,
creates_treatment_plan,false,,
writes_prescription,false,,
returns_drug_dose,false,,
requires_human_review,true,,
decision,GO_TO_EXOTICS_AVIAN_DEEPENING_V1,,
