activation_readiness_report_id,species_group,review_domain,activation_readiness_scope,readiness_report_status,activation_readiness_status,final_go_no_go_status,governance_signoff_record_final_go_no_go_status,clinical_owner_activation_status,second_reviewer_activation_status,source_access_activation_status,copyright_access_activation_status,metadata_only_workspace_status,metadata_only_validation_status,forbidden_value_scanner_status,activation_scope_status,pilot_sample_limit_status,halt_rule_status,collection_activation_status,collection_execution_status,report_status,go_no_go_status,human_review_required,clinician_signoff_required,next_required_stage
activation-readiness-report:rabbit:analgesia_and_pain_control_source_review,rabbit,analgesia_and_pain_control_source_review,metadata_only_source_collection_activation_readiness_report,shell_defined_no_collection_results,defined_not_passed,no_go_to_activation,no_go_to_collection_execution,required_not_completed,required_not_completed,required_not_verified,required_not_verified,defined_not_populated,defined_not_executed,required_before_activation,metadata_only_scope_defined,required_before_activation,required_before_activation,not_started_not_allowed,not_started_not_allowed,readiness_report_shell_only,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_READINESS_REPORT_FINAL_GO_NO_GO_V1
activation-readiness-report:rabbit:antimicrobial_source_review,rabbit,antimicrobial_source_review,metadata_only_source_collection_activation_readiness_report,shell_defined_no_collection_results,defined_not_passed,no_go_to_activation,no_go_to_collection_execution,required_not_completed,required_not_completed,required_not_verified,required_not_verified,defined_not_populated,defined_not_executed,required_before_activation,metadata_only_scope_defined,required_before_activation,required_before_activation,not_started_not_allowed,not_started_not_allowed,readiness_report_shell_only,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_READINESS_REPORT_FINAL_GO_NO_GO_V1
activation-readiness-report:rabbit:antiparasitic_source_review,rabbit,antiparasitic_source_review,metadata_only_source_collection_activation_readiness_report,shell_defined_no_collection_results,defined_not_passed,no_go_to_activation,no_go_to_collection_execution,required_not_completed,required_not_completed,required_not_verified,required_not_verified,defined_not_populated,defined_not_executed,required_before_activation,metadata_only_scope_defined,required_before_activation,required_before_activation,not_started_not_allowed,not_started_not_allowed,readiness_report_shell_only,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_READINESS_REPORT_FINAL_GO_NO_GO_V1
activation-readiness-report:rabbit:fluid_and_supportive_care_source_review,rabbit,fluid_and_supportive_care_source_review,metadata_only_source_collection_activation_readiness_report,shell_defined_no_collection_results,defined_not_passed,no_go_to_activation,no_go_to_collection_execution,required_not_completed,required_not_completed,required_not_verified,required_not_verified,defined_not_populated,defined_not_executed,required_before_activation,metadata_only_scope_defined,required_before_activation,required_before_activation,not_started_not_allowed,not_started_not_allowed,readiness_report_shell_only,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_READINESS_REPORT_FINAL_GO_NO_GO_V1
activation-readiness-report:rabbit:sedation_anesthesia_risk_source_review,rabbit,sedation_anesthesia_risk_source_review,metadata_only_source_collection_activation_readiness_report,shell_defined_no_collection_results,defined_not_passed,no_go_to_activation,no_go_to_collection_execution,required_not_completed,required_not_completed,required_not_verified,required_not_verified,defined_not_populated,defined_not_executed,required_before_activation,metadata_only_scope_defined,required_before_activation,required_before_activation,not_started_not_allowed,not_started_not_allowed,readiness_report_shell_only,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_READINESS_REPORT_FINAL_GO_NO_GO_V1
activation-readiness-report:rabbit:emergency_stabilization_source_review,rabbit,emergency_stabilization_source_review,metadata_only_source_collection_activation_readiness_report,shell_defined_no_collection_results,defined_not_passed,no_go_to_activation,no_go_to_collection_execution,required_not_completed,required_not_completed,required_not_verified,required_not_verified,defined_not_populated,defined_not_executed,required_before_activation,metadata_only_scope_defined,required_before_activation,required_before_activation,not_started_not_allowed,not_started_not_allowed,readiness_report_shell_only,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_READINESS_REPORT_FINAL_GO_NO_GO_V1
activation-readiness-report:bird:analgesia_and_pain_control_source_review,bird,analgesia_and_pain_control_source_review,metadata_only_source_collection_activation_readiness_report,shell_defined_no_collection_results,defined_not_passed,no_go_to_activation,no_go_to_collection_execution,required_not_completed,required_not_completed,required_not_verified,required_not_verified,defined_not_populated,defined_not_executed,required_before_activation,metadata_only_scope_defined,required_before_activation,required_before_activation,not_started_not_allowed,not_started_not_allowed,readiness_report_shell_only,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_READINESS_REPORT_FINAL_GO_NO_GO_V1
activation-readiness-report:bird:antimicrobial_source_review,bird,antimicrobial_source_review,metadata_only_source_collection_activation_readiness_report,shell_defined_no_collection_results,defined_not_passed,no_go_to_activation,no_go_to_collection_execution,required_not_completed,required_not_completed,required_not_verified,required_not_verified,defined_not_populated,defined_not_executed,required_before_activation,metadata_only_scope_defined,required_before_activation,required_before_activation,not_started_not_allowed,not_started_not_allowed,readiness_report_shell_only,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_READINESS_REPORT_FINAL_GO_NO_GO_V1
activation-readiness-report:bird:antiparasitic_source_review,bird,antiparasitic_source_review,metadata_only_source_collection_activation_readiness_report,shell_defined_no_collection_results,defined_not_passed,no_go_to_activation,no_go_to_collection_execution,required_not_completed,required_not_completed,required_not_verified,required_not_verified,defined_not_populated,defined_not_executed,required_before_activation,metadata_only_scope_defined,required_before_activation,required_before_activation,not_started_not_allowed,not_started_not_allowed,readiness_report_shell_only,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_READINESS_REPORT_FINAL_GO_NO_GO_V1
activation-readiness-report:bird:fluid_and_supportive_care_source_review,bird,fluid_and_supportive_care_source_review,metadata_only_source_collection_activation_readiness_report,shell_defined_no_collection_results,defined_not_passed,no_go_to_activation,no_go_to_collection_execution,required_not_completed,required_not_completed,required_not_verified,required_not_verified,defined_not_populated,defined_not_executed,required_before_activation,metadata_only_scope_defined,required_before_activation,required_before_activation,not_started_not_allowed,not_started_not_allowed,readiness_report_shell_only,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_READINESS_REPORT_FINAL_GO_NO_GO_V1
activation-readiness-report:bird:sedation_anesthesia_risk_source_review,bird,sedation_anesthesia_risk_source_review,metadata_only_source_collection_activation_readiness_report,shell_defined_no_collection_results,defined_not_passed,no_go_to_activation,no_go_to_collection_execution,required_not_completed,required_not_completed,required_not_verified,required_not_verified,defined_not_populated,defined_not_executed,required_before_activation,metadata_only_scope_defined,required_before_activation,required_before_activation,not_started_not_allowed,not_started_not_allowed,readiness_report_shell_only,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_READINESS_REPORT_FINAL_GO_NO_GO_V1
activation-readiness-report:bird:emergency_stabilization_source_review,bird,emergency_stabilization_source_review,metadata_only_source_collection_activation_readiness_report,shell_defined_no_collection_results,defined_not_passed,no_go_to_activation,no_go_to_collection_execution,required_not_completed,required_not_completed,required_not_verified,required_not_verified,defined_not_populated,defined_not_executed,required_before_activation,metadata_only_scope_defined,required_before_activation,required_before_activation,not_started_not_allowed,not_started_not_allowed,readiness_report_shell_only,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_READINESS_REPORT_FINAL_GO_NO_GO_V1
activation-readiness-report:ferret:analgesia_and_pain_control_source_review,ferret,analgesia_and_pain_control_source_review,metadata_only_source_collection_activation_readiness_report,shell_defined_no_collection_results,defined_not_passed,no_go_to_activation,no_go_to_collection_execution,required_not_completed,required_not_completed,required_not_verified,required_not_verified,defined_not_populated,defined_not_executed,required_before_activation,metadata_only_scope_defined,required_before_activation,required_before_activation,not_started_not_allowed,not_started_not_allowed,readiness_report_shell_only,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_READINESS_REPORT_FINAL_GO_NO_GO_V1
activation-readiness-report:ferret:antimicrobial_source_review,ferret,antimicrobial_source_review,metadata_only_source_collection_activation_readiness_report,shell_defined_no_collection_results,defined_not_passed,no_go_to_activation,no_go_to_collection_execution,required_not_completed,required_not_completed,required_not_verified,required_not_verified,defined_not_populated,defined_not_executed,required_before_activation,metadata_only_scope_defined,required_before_activation,required_before_activation,not_started_not_allowed,not_started_not_allowed,readiness_report_shell_only,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_READINESS_REPORT_FINAL_GO_NO_GO_V1
activation-readiness-report:ferret:antiparasitic_source_review,ferret,antiparasitic_source_review,metadata_only_source_collection_activation_readiness_report,shell_defined_no_collection_results,defined_not_passed,no_go_to_activation,no_go_to_collection_execution,required_not_completed,required_not_completed,required_not_verified,required_not_verified,defined_not_populated,defined_not_executed,required_before_activation,metadata_only_scope_defined,required_before_activation,required_before_activation,not_started_not_allowed,not_started_not_allowed,readiness_report_shell_only,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_READINESS_REPORT_FINAL_GO_NO_GO_V1
