control_id,control,expected,current,status,evidence
PMAI-P0-04-ARCI-V2-AUTH-CHK-001,stage_id,PMAI-P0-04,PMAI-P0-04,PASS,authorization review
PMAI-P0-04-ARCI-V2-AUTH-CHK-002,substage,ARCHIVE_ROOT_CONTRACT_INVESTIGATION_V2_AUTHORIZATION_REVIEW_V1,ARCHIVE_ROOT_CONTRACT_INVESTIGATION_V2_AUTHORIZATION_REVIEW_V1,PASS,authorization review
PMAI-P0-04-ARCI-V2-AUTH-CHK-003,entry_commit,abeec6d7f1f5a592fc1435b4a370bd6cffb3a4ce,abeec6d7f1f5a592fc1435b4a370bd6cffb3a4ce,PASS,published baseline
PMAI-P0-04-ARCI-V2-AUTH-CHK-004,entry_parent,b5eaeb7b1a36b5fcb54734bda5886d93d56576e3,b5eaeb7b1a36b5fcb54734bda5886d93d56576e3,PASS,published baseline
PMAI-P0-04-ARCI-V2-AUTH-CHK-005,github_ci_gate_number,198,198,PASS,published CI
PMAI-P0-04-ARCI-V2-AUTH-CHK-006,github_ci_gate_status,PASS,PASS,PASS,published CI
PMAI-P0-04-ARCI-V2-AUTH-CHK-007,selected_route,ROUTE_B_REBUILD_CORRECTED_METADATA_INVESTIGATION_CHAIN_V2,ROUTE_B_REBUILD_CORRECTED_METADATA_INVESTIGATION_CHAIN_V2,PASS,preparation
PMAI-P0-04-ARCI-V2-AUTH-CHK-008,v2_preparation_complete,true,true,PASS,preparation
PMAI-P0-04-ARCI-V2-AUTH-CHK-009,repository_only,true,true,PASS,current package
PMAI-P0-04-ARCI-V2-AUTH-CHK-010,active_0010_count,0,0,PASS,repository scan
PMAI-P0-04-ARCI-V2-AUTH-CHK-011,locked_runner_unchanged,true,true,PASS,hash lock
PMAI-P0-04-ARCI-V2-AUTH-CHK-012,prepared_v2_source_hash,0d6303b0a5fc63d8231669b8a5d396d67b645120f9ac5421977cb79f3f6e8837,0d6303b0a5fc63d8231669b8a5d396d67b645120f9ac5421977cb79f3f6e8837,PASS,hash lock
PMAI-P0-04-ARCI-V2-AUTH-CHK-013,candidate_v2_source_hash,ce4b0fc1421624b29309f8eeae750d712601821529102620faf5c1b2b75be4f6,ce4b0fc1421624b29309f8eeae750d712601821529102620faf5c1b2b75be4f6,PASS,hash lock
PMAI-P0-04-ARCI-V2-AUTH-CHK-014,candidate_source_suffix,.py.txt,.py.txt,PASS,inert source
PMAI-P0-04-ARCI-V2-AUTH-CHK-015,candidate_repository_executable,false,false,PASS,inert source
PMAI-P0-04-ARCI-V2-AUTH-CHK-016,candidate_executed_by_ci,false,false,PASS,CI command allowlist
PMAI-P0-04-ARCI-V2-AUTH-CHK-017,candidate_executed_by_package,false,false,PASS,package boundary
PMAI-P0-04-ARCI-V2-AUTH-CHK-018,candidate_activation_authorized,false,false,PASS,current authority
PMAI-P0-04-ARCI-V2-AUTH-CHK-019,candidate_execution_gate_literal,true,true,PASS,AST review
PMAI-P0-04-ARCI-V2-AUTH-CHK-020,candidate_default_mode,CONTRACT_ONLY_NO_ARCHIVE_OPEN,CONTRACT_ONLY_NO_ARCHIVE_OPEN,PASS,source review
PMAI-P0-04-ARCI-V2-AUTH-CHK-021,authorization_record_id,PMAI-P0-04-ARCI-V2-AUTH-V1-20260812,PMAI-P0-04-ARCI-V2-AUTH-V1-20260812,PASS,source and review
PMAI-P0-04-ARCI-V2-AUTH-CHK-022,authorization_scope,ONE_EXACT_ARCHIVE_ONE_V2_METADATA_ONLY_ATTEMPT,ONE_EXACT_ARCHIVE_ONE_V2_METADATA_ONLY_ATTEMPT,PASS,review record
PMAI-P0-04-ARCI-V2-AUTH-CHK-023,current_v2_investigation_authorized,false,false,PASS,current authority
PMAI-P0-04-ARCI-V2-AUTH-CHK-024,post_effective_gate_v2_investigation_authorized,true,true,PASS,proposed authority
PMAI-P0-04-ARCI-V2-AUTH-CHK-025,v2_execution_authorized,false,false,PASS,current authority
PMAI-P0-04-ARCI-V2-AUTH-CHK-026,v2_listing_attempt_authorized,false,false,PASS,current authority
PMAI-P0-04-ARCI-V2-AUTH-CHK-027,one_time_confirmation_present,false,false,PASS,current authority
PMAI-P0-04-ARCI-V2-AUTH-CHK-028,v1_attempts_consumed,1,1,PASS,execution evidence
PMAI-P0-04-ARCI-V2-AUTH-CHK-029,v1_attempts_remaining,0,0,PASS,execution evidence
PMAI-P0-04-ARCI-V2-AUTH-CHK-030,v2_attempt_budget,1,1,PASS,proposed boundary
PMAI-P0-04-ARCI-V2-AUTH-CHK-031,v2_attempts_consumed,0,0,PASS,current boundary
PMAI-P0-04-ARCI-V2-AUTH-CHK-032,v2_attempts_remaining_current,0,0,PASS,current boundary
PMAI-P0-04-ARCI-V2-AUTH-CHK-033,v2_attempts_remaining_post_gate,1,1,PASS,proposed boundary
PMAI-P0-04-ARCI-V2-AUTH-CHK-034,v2_attempt_number,1,1,PASS,source lock
PMAI-P0-04-ARCI-V2-AUTH-CHK-035,cumulative_attempt_number,2,2,PASS,source lock
PMAI-P0-04-ARCI-V2-AUTH-CHK-036,automatic_retry_allowed,false,false,PASS,source lock
PMAI-P0-04-ARCI-V2-AUTH-CHK-037,manual_retry_allowed,false,false,PASS,review record
PMAI-P0-04-ARCI-V2-AUTH-CHK-038,authorization_reuse_allowed,false,false,PASS,review record
PMAI-P0-04-ARCI-V2-AUTH-CHK-039,approved_archive_sha256,ea7b5a69231f50e54bd0a9da5b8eab4dde04d763853bef824564c4c66d2fa8a7,ea7b5a69231f50e54bd0a9da5b8eab4dde04d763853bef824564c4c66d2fa8a7,PASS,exact identity
PMAI-P0-04-ARCI-V2-AUTH-CHK-040,archive_hash_recheck_required,true,true,PASS,source review
PMAI-P0-04-ARCI-V2-AUTH-CHK-041,member_header_scope,METADATA_ONLY,METADATA_ONLY,PASS,operation boundary
PMAI-P0-04-ARCI-V2-AUTH-CHK-042,member_payload_scope,FORBIDDEN,FORBIDDEN,PASS,operation boundary
