item,required,status,evidence
case_detail_signed_review_state_persistence_migration_ui_only,true,PASS_REQUIRED,UI-only panel
uses_migration_dry_run_endpoint_only,true,PASS_REQUIRED,POST dry-run migration endpoint
migration_disabled,true,PASS_REQUIRED,migration_enabled=false
migration_file_not_created,true,PASS_REQUIRED,migration_file_created=false
schema_change_disabled,true,PASS_REQUIRED,schema_change_enabled=false
no_case_treatment_write,true,PASS_REQUIRED,writes_case_treatment=false
no_prescription_write,true,PASS_REQUIRED,writes_prescription=false
no_dose_route_frequency,true,PASS_REQUIRED,returns_drug_dose/route/frequency=false
not_client_facing,true,PASS_REQUIRED,not_client_facing=true
requires_human_review,true,PASS_REQUIRED,requires_human_review=true
clinician_signoff_required,true,PASS_REQUIRED,clinician_signoff_required=true
decision,GO_TO_TREATMENT_FRAMEWORK_SIGNED_REVIEW_STATE_PERSISTENCE_MIGRATION_FINAL_GO_NO_GO_V1,PASS_REQUIRED,next stage
