item,status,evidence,gate
stage_doc_present,required,docs/clinical_data/EXOTICS_LAB_IMAGING_INTERPRETATION_READINESS_V1.md,GO
matrix_present,required,docs/clinical_data/EXOTICS_LAB_IMAGING_INTERPRETATION_READINESS_MATRIX_V1.csv,GO
backend_helper_present,required,backend/exotics_lab_imaging_interpretation_readiness.py,GO
read_only,required,writes_database=false,GO
no_interpretation_engine,required,is_interpretation_engine=false,GO
no_lab_reference_activation,required,lab_reference_ranges_enabled=false,GO
no_imaging_ai_interpretation,required,imaging_ai_interpretation_enabled=false,GO
no_final_diagnosis,required,generates_final_diagnosis=false,GO
no_treatment_plan,required,creates_treatment_plan=false,GO
no_prescription,required,writes_prescription=false,GO
no_drug_dose,required,returns_drug_dose=false,GO
source_review_required,required,source_review_status=required_not_started,GO
human_review_required,required,requires_human_review=true,GO
validator_hooked,required,scripts/validate_exotics_lab_imaging_interpretation_readiness.py,GO
