check_id,area,item,required_state,actual_state,evidence,owner,go_no_go,status,notes
DMR-001,design,DiagnosticReport schema design completed,true,true,DIAGNOSTIC_REPORT_SCHEMA_DESIGN_V1.csv,clinical_ops_owner,GO_REQUIRED,PASS,
DMR-002,design,Observation schema design completed,true,true,OBSERVATION_SCHEMA_DESIGN_V1.csv,clinical_ops_owner,GO_REQUIRED,PASS,
DMR-003,design,ImagingStudy schema design completed,true,true,IMAGING_STUDY_SCHEMA_DESIGN_V1.csv,clinical_ops_owner,GO_REQUIRED,PASS,
DMR-004,relationship,Case relationship design completed,true,true,DIAGNOSTIC_DATA_MODEL_ENTITY_RELATIONSHIP_V1.md,release_owner,GO_REQUIRED,PASS,
DMR-005,status,status workflow completed,true,true,DIAGNOSTIC_DATA_MODEL_STATUS_WORKFLOW_V1.csv,clinical_ops_owner,GO_REQUIRED,PASS,
DMR-006,source_type,source type policy completed,true,true,DIAGNOSTIC_DATA_MODEL_SOURCE_TYPE_POLICY_V1.csv,security_owner,GO_REQUIRED,PASS,
DMR-007,ai_boundary,AI summary boundary completed,true,true,DIAGNOSTIC_DATA_MODEL_AI_SUMMARY_BOUNDARY_V1.md,clinical_ops_owner,GO_REQUIRED,PASS,
DMR-008,api_plan,read-only API plan completed,true,true,DIAGNOSTIC_DATA_MODEL_READONLY_API_PLAN_V1.md,release_owner,GO_REQUIRED,PASS,
DMR-009,fixtures,dry-run fixtures plan completed,true,true,DIAGNOSTIC_DATA_MODEL_DRY_RUN_FIXTURES_PLAN_V1.md,release_owner,GO_REQUIRED,PASS,
DMR-010,alembic,revision id length safe,true,true,Alembic plan,release_owner,GO_REQUIRED,PASS,short revision id required
DMR-011,postgres,index and constraint names under 63 chars,true,true,PostgreSQL identifier review,release_owner,GO_REQUIRED,PASS,
DMR-012,compatibility,SQLite and PostgreSQL compatibility considered,true,true,Alembic plan,release_owner,GO_REQUIRED,PASS,
DMR-013,rollback,rollback plan exists,true,true,rollback plan,release_owner,GO_REQUIRED,PASS,
DMR-014,security,owner-scope test plan exists,true,true,smoke coverage plan,security_owner,GO_REQUIRED,PASS,
DMR-015,safety,no real ingest in migration V1,true,true,scope boundary,security_owner,GO_REQUIRED,PASS,
DMR-016,safety,no structured prescription write,true,true,scope boundary,clinical_ops_owner,GO_REQUIRED,PASS,
DMR-017,flags,dangerous flags remain disabled,true,true,feature flag policy,security_owner,GO_REQUIRED,PASS,
DMR-018,smoke,smoke coverage plan exists,true,true,smoke coverage plan,release_owner,GO_REQUIRED,PASS,
DMR-019,risk,risk register reviewed,true,true,risk register,release_owner,GO_REQUIRED,PASS,
DMR-020,decision,readiness decision recorded,GO_TO_DIAGNOSTIC_DATA_MODEL_MIGRATION_V1,GO_TO_DIAGNOSTIC_DATA_MODEL_MIGRATION_V1,go no-go,release_owner,GO_REQUIRED,PASS,
