control_id,control,expected,current,status,evidence_source,hard_stop_if
PMAI-P0-04-FDTP-EXEC-EVID-V3-001,stage_id,PMAI-P0-04,PMAI-P0-04,PASS,evidence_document,mismatch
PMAI-P0-04-FDTP-EXEC-EVID-V3-002,substage,FRESH_DISPOSABLE_TARGET_PROVISIONING_EXECUTION_EVIDENCE_V3,FRESH_DISPOSABLE_TARGET_PROVISIONING_EXECUTION_EVIDENCE_V3,PASS,evidence_document,mismatch
PMAI-P0-04-FDTP-EXEC-EVID-V3-003,authorization_package_commit,6673d3b4bb4052f57f4f7d456a09ac82b20ea281,6673d3b4bb4052f57f4f7d456a09ac82b20ea281,PASS,operator_git_output,mismatch
PMAI-P0-04-FDTP-EXEC-EVID-V3-004,authorization_package_parent,e3dce86cdc98546e61eb52b573aa8fee112a00b4,e3dce86cdc98546e61eb52b573aa8fee112a00b4,PASS,operator_git_output,mismatch
PMAI-P0-04-FDTP-EXEC-EVID-V3-005,github_ci_gate_number,211,211,PASS,github_ci_screenshot,mismatch
PMAI-P0-04-FDTP-EXEC-EVID-V3-006,github_ci_gate_status,PASS,PASS,PASS,github_ci_screenshot,not_pass
PMAI-P0-04-FDTP-EXEC-EVID-V3-007,repository_clean_after_execution,true,true,PASS,operator_report,false
PMAI-P0-04-FDTP-EXEC-EVID-V3-008,authorization_record_id,PMAI-P0-04-FDTP-EXT-EXEC-AUTH-V3-20260815,PMAI-P0-04-FDTP-EXT-EXEC-AUTH-V3-20260815,PASS,authorization_record,mismatch
PMAI-P0-04-FDTP-EXEC-EVID-V3-009,evidence_record_id,PMAI-P0-04-FDTP-EXEC-EVID-V3-20260816,PMAI-P0-04-FDTP-EXEC-EVID-V3-20260816,PASS,evidence_document,mismatch
PMAI-P0-04-FDTP-EXEC-EVID-V3-010,target_contract_identity_sha256,e57fbfce3e490cdf185f83e9e376b20fe0ef665fbe293a512a6298d8a6420744,e57fbfce3e490cdf185f83e9e376b20fe0ef665fbe293a512a6298d8a6420744,PASS,authorization_record,mismatch
PMAI-P0-04-FDTP-EXEC-EVID-V3-011,execution_attempt_limit,1,1,PASS,authorization_record,mismatch
PMAI-P0-04-FDTP-EXEC-EVID-V3-012,execution_attempts_consumed,1,1,PASS,operator_report,not_one
PMAI-P0-04-FDTP-EXEC-EVID-V3-013,execution_attempts_remaining,0,0,PASS,evidence_decision,not_zero
PMAI-P0-04-FDTP-EXEC-EVID-V3-014,automatic_retry,false,false,PASS,authorization_record,true
PMAI-P0-04-FDTP-EXEC-EVID-V3-015,manual_retry_authorized,false,false,PASS,evidence_decision,true
PMAI-P0-04-FDTP-EXEC-EVID-V3-016,authorization_reuse_allowed,false,false,PASS,evidence_decision,true
PMAI-P0-04-FDTP-EXEC-EVID-V3-017,name_absent_preflight,true,true,PASS,operator_confirmation,false
PMAI-P0-04-FDTP-EXEC-EVID-V3-018,configuration_contract_preflight,true,true,PASS,operator_confirmation,false
PMAI-P0-04-FDTP-EXEC-EVID-V3-019,cost_ceiling_preflight,true,true,PASS,operator_confirmation,false
PMAI-P0-04-FDTP-EXEC-EVID-V3-020,create_request_submitted,true,true,PASS,operator_report,false
PMAI-P0-04-FDTP-EXEC-EVID-V3-021,target_created,true,true,PASS,operator_report,false
PMAI-P0-04-FDTP-EXEC-EVID-V3-022,target_status,AVAILABLE,AVAILABLE,PASS,sanitized_status_evidence,mismatch
PMAI-P0-04-FDTP-EXEC-EVID-V3-023,target_logical_name,pet-med-ai-db-p0-04-fresh-disposable-restore-v3-ohio,pet-med-ai-db-p0-04-fresh-disposable-restore-v3-ohio,PASS,sanitized_configuration_evidence,mismatch
PMAI-P0-04-FDTP-EXEC-EVID-V3-024,target_provider,Render,Render,PASS,authorization_contract,mismatch
PMAI-P0-04-FDTP-EXEC-EVID-V3-025,target_region,Ohio (US East),Ohio (US East),PASS,sanitized_configuration_evidence,mismatch
PMAI-P0-04-FDTP-EXEC-EVID-V3-026,target_engine_family,PostgreSQL,PostgreSQL,PASS,sanitized_configuration_evidence,mismatch
PMAI-P0-04-FDTP-EXEC-EVID-V3-027,target_server_major_version,18,18,PASS,sanitized_configuration_evidence,mismatch
PMAI-P0-04-FDTP-EXEC-EVID-V3-028,target_instance_type,Basic-256mb,Basic-256mb,PASS,sanitized_configuration_evidence,mismatch
PMAI-P0-04-FDTP-EXEC-EVID-V3-029,target_storage_gb,1,1,PASS,sanitized_configuration_evidence,mismatch
PMAI-P0-04-FDTP-EXEC-EVID-V3-030,target_storage_autoscaling,false,false,PASS,sanitized_configuration_evidence,true
