gate,decision,notes
validator,GO_IF_PASS,python3 scripts/validate_case_detail_treatment_framework_signed_review_state_ui.py
ci_static_checks,GO_IF_PASS,bash scripts/ci_static_checks.sh
online_smoke,GO_IF_ALL_PASS,bash scripts/smoke_petmed.sh
production_hard_gate,GO_IF_PASS,database_revision=0009_diag_data and alembic_head=0009_diag_data and schema_ok=true
dangerous_flags,GO_IF_DISABLED,all dangerous feature flags false
signed_review_state_ui_static_smoke,GO_IF_PASS,case_detail_treatment_framework_signed_review_state_ui=PASS
signed_review_state_endpoint,GO_IF_REGISTERED_AND_PROTECTED,endpoint registered and protected or validation gated
case_treatment_persistence,NO_GO,no_case_treatment_persistence=true
prescription_write,NO_GO,no_prescription_write=true
dose_route_frequency,NO_GO,no_dose_route_frequency=true
client_facing_release,NO_GO,not_client_facing=true
next_stage,GO,GO_TO_TREATMENT_FRAMEWORK_SIGNED_REVIEW_STATE_PERSISTENCE_RISK_REVIEW_V1
