workspace_id,species_group,review_domain,workspace_scope,workspace_status,metadata_only_policy,source_collection_execution_status,named_collector_required,second_reviewer_required,source_access_required,copyright_access_required,value_capture_blocker_status,numeric_value_capture_status,route_frequency_capture_status,usable_medication_instruction_status,deidentification_required,human_review_required,clinician_signoff_required,go_no_go_status,notes
workspace:rabbit:analgesia_and_pain_control_source_review,rabbit,analgesia_and_pain_control_source_review,exotics_drug_dose_source_review_metadata_only,defined_not_populated,metadata_only_no_medication_values,not_started,true,true,true,true,required_enabled_before_use,blocked,blocked,blocked,true,true,true,NO_GO_TO_SOURCE_COLLECTION_EXECUTION,"workspace shell only; no dose, route, frequency, prescription, treatment protocol, client instruction, or copyrighted full text"
workspace:rabbit:antimicrobial_source_review,rabbit,antimicrobial_source_review,exotics_drug_dose_source_review_metadata_only,defined_not_populated,metadata_only_no_medication_values,not_started,true,true,true,true,required_enabled_before_use,blocked,blocked,blocked,true,true,true,NO_GO_TO_SOURCE_COLLECTION_EXECUTION,"workspace shell only; no dose, route, frequency, prescription, treatment protocol, client instruction, or copyrighted full text"
workspace:rabbit:antiparasitic_source_review,rabbit,antiparasitic_source_review,exotics_drug_dose_source_review_metadata_only,defined_not_populated,metadata_only_no_medication_values,not_started,true,true,true,true,required_enabled_before_use,blocked,blocked,blocked,true,true,true,NO_GO_TO_SOURCE_COLLECTION_EXECUTION,"workspace shell only; no dose, route, frequency, prescription, treatment protocol, client instruction, or copyrighted full text"
workspace:rabbit:fluid_and_supportive_care_source_review,rabbit,fluid_and_supportive_care_source_review,exotics_drug_dose_source_review_metadata_only,defined_not_populated,metadata_only_no_medication_values,not_started,true,true,true,true,required_enabled_before_use,blocked,blocked,blocked,true,true,true,NO_GO_TO_SOURCE_COLLECTION_EXECUTION,"workspace shell only; no dose, route, frequency, prescription, treatment protocol, client instruction, or copyrighted full text"
workspace:rabbit:sedation_anesthesia_risk_source_review,rabbit,sedation_anesthesia_risk_source_review,exotics_drug_dose_source_review_metadata_only,defined_not_populated,metadata_only_no_medication_values,not_started,true,true,true,true,required_enabled_before_use,blocked,blocked,blocked,true,true,true,NO_GO_TO_SOURCE_COLLECTION_EXECUTION,"workspace shell only; no dose, route, frequency, prescription, treatment protocol, client instruction, or copyrighted full text"
workspace:rabbit:emergency_stabilization_source_review,rabbit,emergency_stabilization_source_review,exotics_drug_dose_source_review_metadata_only,defined_not_populated,metadata_only_no_medication_values,not_started,true,true,true,true,required_enabled_before_use,blocked,blocked,blocked,true,true,true,NO_GO_TO_SOURCE_COLLECTION_EXECUTION,"workspace shell only; no dose, route, frequency, prescription, treatment protocol, client instruction, or copyrighted full text"
workspace:bird:analgesia_and_pain_control_source_review,bird,analgesia_and_pain_control_source_review,exotics_drug_dose_source_review_metadata_only,defined_not_populated,metadata_only_no_medication_values,not_started,true,true,true,true,required_enabled_before_use,blocked,blocked,blocked,true,true,true,NO_GO_TO_SOURCE_COLLECTION_EXECUTION,"workspace shell only; no dose, route, frequency, prescription, treatment protocol, client instruction, or copyrighted full text"
workspace:bird:antimicrobial_source_review,bird,antimicrobial_source_review,exotics_drug_dose_source_review_metadata_only,defined_not_populated,metadata_only_no_medication_values,not_started,true,true,true,true,required_enabled_before_use,blocked,blocked,blocked,true,true,true,NO_GO_TO_SOURCE_COLLECTION_EXECUTION,"workspace shell only; no dose, route, frequency, prescription, treatment protocol, client instruction, or copyrighted full text"
workspace:bird:antiparasitic_source_review,bird,antiparasitic_source_review,exotics_drug_dose_source_review_metadata_only,defined_not_populated,metadata_only_no_medication_values,not_started,true,true,true,true,required_enabled_before_use,blocked,blocked,blocked,true,true,true,NO_GO_TO_SOURCE_COLLECTION_EXECUTION,"workspace shell only; no dose, route, frequency, prescription, treatment protocol, client instruction, or copyrighted full text"
workspace:bird:fluid_and_supportive_care_source_review,bird,fluid_and_supportive_care_source_review,exotics_drug_dose_source_review_metadata_only,defined_not_populated,metadata_only_no_medication_values,not_started,true,true,true,true,required_enabled_before_use,blocked,blocked,blocked,true,true,true,NO_GO_TO_SOURCE_COLLECTION_EXECUTION,"workspace shell only; no dose, route, frequency, prescription, treatment protocol, client instruction, or copyrighted full text"
workspace:bird:sedation_anesthesia_risk_source_review,bird,sedation_anesthesia_risk_source_review,exotics_drug_dose_source_review_metadata_only,defined_not_populated,metadata_only_no_medication_values,not_started,true,true,true,true,required_enabled_before_use,blocked,blocked,blocked,true,true,true,NO_GO_TO_SOURCE_COLLECTION_EXECUTION,"workspace shell only; no dose, route, frequency, prescription, treatment protocol, client instruction, or copyrighted full text"
workspace:bird:emergency_stabilization_source_review,bird,emergency_stabilization_source_review,exotics_drug_dose_source_review_metadata_only,defined_not_populated,metadata_only_no_medication_values,not_started,true,true,true,true,required_enabled_before_use,blocked,blocked,blocked,true,true,true,NO_GO_TO_SOURCE_COLLECTION_EXECUTION,"workspace shell only; no dose, route, frequency, prescription, treatment protocol, client instruction, or copyrighted full text"
workspace:ferret:analgesia_and_pain_control_source_review,ferret,analgesia_and_pain_control_source_review,exotics_drug_dose_source_review_metadata_only,defined_not_populated,metadata_only_no_medication_values,not_started,true,true,true,true,required_enabled_before_use,blocked,blocked,blocked,true,true,true,NO_GO_TO_SOURCE_COLLECTION_EXECUTION,"workspace shell only; no dose, route, frequency, prescription, treatment protocol, client instruction, or copyrighted full text"
workspace:ferret:antimicrobial_source_review,ferret,antimicrobial_source_review,exotics_drug_dose_source_review_metadata_only,defined_not_populated,metadata_only_no_medication_values,not_started,true,true,true,true,required_enabled_before_use,blocked,blocked,blocked,true,true,true,NO_GO_TO_SOURCE_COLLECTION_EXECUTION,"workspace shell only; no dose, route, frequency, prescription, treatment protocol, client instruction, or copyrighted full text"
workspace:ferret:antiparasitic_source_review,ferret,antiparasitic_source_review,exotics_drug_dose_source_review_metadata_only,defined_not_populated,metadata_only_no_medication_values,not_started,true,true,true,true,required_enabled_before_use,blocked,blocked,blocked,true,true,true,NO_GO_TO_SOURCE_COLLECTION_EXECUTION,"workspace shell only; no dose, route, frequency, prescription, treatment protocol, client instruction, or copyrighted full text"
workspace:ferret:fluid_and_supportive_care_source_review,ferret,fluid_and_supportive_care_source_review,exotics_drug_dose_source_review_metadata_only,defined_not_populated,metadata_only_no_medication_values,not_started,true,true,true,true,required_enabled_before_use,blocked,blocked,blocked,true,true,true,NO_GO_TO_SOURCE_COLLECTION_EXECUTION,"workspace shell only; no dose, route, frequency, prescription, treatment protocol, client instruction, or copyrighted full text"
