phase,item,owner,location,expected_result,hard_stop_if_failed,status,evidence,notes
preflight,GitHub Actions latest run,developer,GitHub Actions Pet-Med-AI CI Gate,green,yes,,,
preflight,Online smoke,operator,BASE_URL=https://pet-med-ai-backend.onrender.com bash scripts/smoke_petmed.sh,ALL PASS,yes,,,
preflight,System version,operator,/api/system/version,schema_ok true,yes,,,
preflight,Revision alignment,operator,/api/system/version,database_revision equals alembic_head,yes,,,
preflight,Preventive migration,operator,/api/system/version or Alembic current,0007_preventive_care,yes,,,
ops,Open Ops Dashboard,front_desk_owner,/ops,Preventive Care section visible,yes,,,
ops,Record preventive attention,front_desk_owner,/ops,value recorded,yes,,,
ops,Record reminders open,front_desk_owner,/ops,value recorded,yes,,,
ops,Record due today,front_desk_owner,/ops,value recorded,yes,,,
ops,Record overdue,front_desk_owner,/ops,value recorded,yes,,,
ops,Record queue needs review,front_desk_owner,/ops,value recorded,yes,,,
ops,Record manual contacted,front_desk_owner,/ops,value recorded,no,,,
ops,Record blocked opt-out,front_desk_owner,/ops,value recorded,yes,,,
queue,Open notification queue,front_desk_owner,/preventive-care/notification-queue,page loads,yes,,,
queue,Review draft items,front_desk_owner,queue page,reviewed or canceled,yes,,,
queue,Mark manual contacts,front_desk_owner,queue page,manual contacts recorded,yes,,,
queue,Respect opt-out,front_desk_owner,queue page,blocked_opt_out not contacted,yes,,,
safety,Confirm auto_send false,front_desk_owner,/ops and queue page,auto_send=false,yes,,,
safety,Confirm no external send,front_desk_owner,/ops and queue page,sends_external_message=false,yes,,,
safety,Confirm manual review,front_desk_owner,/ops and queue page,manual_review_required=true,yes,,,
security,Console/log secret check,security_owner,DevTools and Render logs,no SECRET TOKEN KEY PASSWORD values,yes,,,
closeout,Complete weekly log,front_desk_owner,weekly log template,PASS PAUSE or ESCALATE,yes,,,
