phase,item,owner,evidence_source,expected_result,hard_stop_if_failed,status,notes
ci,GitHub Actions CI Gate,developer,GitHub Actions latest run,green,yes,,
ci,Local static CI,developer,bash scripts/ci_static_checks.sh,CI static checks PASS,yes,,
ci,Frontend build,developer,npm run build,build success,yes,,
version,System version,operator,/api/system/version,schema_ok true,yes,,
version,Database revision alignment,operator,/api/system/version,database_revision equals alembic_head,yes,,
flags,Feature flags before window,operator,/api/system/feature-flags,all dangerous disabled,yes,,
backup,Render DB backup,rollback_owner,Render pet-med-ai-db,backup verified,yes,,
backup,rollback_snapshot_id,rollback_owner,release/batch record,non-empty,yes,,
batch,batch status,operator,batch detail,approved or clinical_signed,yes,,
batch,receipt count,operator,batch detail,exactly 1,yes,,
batch,receipt status,operator,webhook inbox detail,ready_for_import,yes,,
batch,mapped case preview,operator,webhook inbox detail,present,yes,,
dry_run,quality gate,operator,execution dry-run response,passed true,yes,,
dry_run,would create count,operator,execution dry-run response,1,yes,,
dry_run,would update count,operator,execution dry-run response,0,yes,,
dry_run,blocked count,operator,execution dry-run response,0,yes,,
clinical,clinical signoff,clinical_owner,clinical approval result,signoff id present,yes,,
clinical,spot-check reviewer,clinical_owner,assignment note,assigned,yes,,
operator,operator ready,operator,operator signoff,ready,yes,,
operator,rollback owner available,rollback_owner,operator signoff,available,yes,,
operator,flag disable plan,operator,operator signoff,documented,yes,,
decision,final decision,release_owner,Go No-Go template,GO PAUSE NO-GO or ROLLBACK-REVIEW,yes,,
