phase,item,owner,location,expected_result,hard_stop_if_failed,status,evidence,notes
preflight,GitHub Actions latest run,developer,GitHub Actions Pet-Med-AI CI Gate,green,yes,,,
preflight,CI static checks,developer,bash scripts/ci_static_checks.sh,PASS,yes,,,
preflight,Online smoke,operator,BASE_URL=https://pet-med-ai-backend.onrender.com bash scripts/smoke_petmed.sh,ALL PASS,yes,,,
preflight,Frontend deploy,operator,Render frontend static site,deploy live,yes,,,
preflight,Backend deploy,operator,Render backend service,deploy live,yes,,,
preflight,Schema alignment,operator,/api/system/version,database_revision equals alembic_head,yes,,,
case_detail,Login,operator,production frontend,login success,yes,,,
case_detail,Open owned Case,operator,case list to case detail,case detail loads no 401/404,yes,,,
case_detail,Preventive panel visible,operator,case detail,预防保健提醒 / Preventive Care visible,yes,,,
case_detail,Dry-run preview,operator,case detail,preview generated and sends_external_message false,yes,,,
case_detail,Create in-app reminder,operator,case detail,reminder created and visible,yes,,,
case_detail,Complete reminder,operator,case detail,status completed,conditional,,,
case_detail,Snooze reminder,operator,case detail,status snoozed,conditional,,,
case_detail,Dismiss reminder,operator,case detail,status dismissed,conditional,,,
case_detail,Disable reminder,operator,case detail,status disabled and client_opt_out true,conditional,,,
queue,Open queue page,operator,/preventive-care/notification-queue,page loads,yes,,,
queue,Create queue draft,operator,queue page,draft created manual_review_required true,yes,,,
queue,Review queue item,operator,queue page,status reviewed,yes,,,
queue,Mark manually contacted,operator,queue page,status contacted_manually,yes,,,
queue,Cancel queue item,operator,queue page,status canceled,conditional,,,
security,No external message sent,operator,system observation,sends_external_message false,yes,,,
security,Console secret check,operator,DevTools Console,no secret values,yes,,,
closeout,Record evidence,release_owner,evidence template,all evidence captured,yes,,,
