gate_id,gate,required,current,status,on_failure
PMAI-P0-04-RR-V3-IMPL-AUTH-GNG-001,exact entry commit,a2f117eb55208bf5022d04482d005137a2f26874,a2f117eb55208bf5022d04482d005137a2f26874,PASS,HOLD
PMAI-P0-04-RR-V3-IMPL-AUTH-GNG-002,Gate 207,PASS,PASS,PASS,HOLD
PMAI-P0-04-RR-V3-IMPL-AUTH-GNG-003,repository clean,true,true,PASS,HOLD
PMAI-P0-04-RR-V3-IMPL-AUTH-GNG-004,design hash,98d6cd0a1f01c551d6f43bae484842ff75163f5a3ea1fb0c600ef85167c0c31b,98d6cd0a1f01c551d6f43bae484842ff75163f5a3ea1fb0c600ef85167c0c31b,PASS,HOLD
PMAI-P0-04-RR-V3-IMPL-AUTH-GNG-005,implementation hash,91b9ba1da8cc290fd94a17b4c57c673be0a805ae25f1ddb0ace69922ff9e2081,91b9ba1da8cc290fd94a17b4c57c673be0a805ae25f1ddb0ace69922ff9e2081,PASS,HOLD
PMAI-P0-04-RR-V3-IMPL-AUTH-GNG-006,candidate AST,valid,valid,PASS,HOLD
PMAI-P0-04-RR-V3-IMPL-AUTH-GNG-007,candidate inert suffix,.py.txt,.py.txt,PASS,HOLD
PMAI-P0-04-RR-V3-IMPL-AUTH-GNG-008,candidate byte modification,false,false,PASS,HOLD
PMAI-P0-04-RR-V3-IMPL-AUTH-GNG-009,external switches,false,false,PASS,HOLD
PMAI-P0-04-RR-V3-IMPL-AUTH-GNG-010,future bindings,UNBOUND,UNBOUND,PASS,HOLD
PMAI-P0-04-RR-V3-IMPL-AUTH-GNG-011,archive access,false,false,PASS,HOLD
PMAI-P0-04-RR-V3-IMPL-AUTH-GNG-012,active runner creation,false,false,PASS,HOLD
PMAI-P0-04-RR-V3-IMPL-AUTH-GNG-013,runner activation,separate authority,not authorized,HOLD,REQUEST_SEPARATE_AUTHORIZATION
PMAI-P0-04-RR-V3-IMPL-AUTH-GNG-014,runner execution,separate authority,not authorized,HOLD,REQUEST_SEPARATE_AUTHORIZATION
PMAI-P0-04-RR-V3-IMPL-AUTH-GNG-015,fresh target provisioning,separate authority,not authorized,HOLD,REQUEST_SEPARATE_AUTHORIZATION
PMAI-P0-04-RR-V3-IMPL-AUTH-GNG-016,database connection,separate authority,not authorized,HOLD,REQUEST_SEPARATE_AUTHORIZATION
PMAI-P0-04-RR-V3-IMPL-AUTH-GNG-017,restore,separate authority,not authorized,HOLD,REQUEST_SEPARATE_AUTHORIZATION
PMAI-P0-04-RR-V3-IMPL-AUTH-GNG-018,migration 0010,separate authority,not authorized,HOLD,REQUEST_SEPARATE_AUTHORIZATION
PMAI-P0-04-RR-V3-IMPL-AUTH-GNG-019,deployment,false,false,PASS,HOLD
PMAI-P0-04-RR-V3-IMPL-AUTH-GNG-020,resource deletion,false,false,PASS,HOLD
PMAI-P0-04-RR-V3-IMPL-AUTH-GNG-021,backup restoreability,true before later P0-04,false,HOLD,COMPLETE_REHEARSAL_FIRST
PMAI-P0-04-RR-V3-IMPL-AUTH-GNG-022,restore rehearsal,true before later P0-04,false,HOLD,COMPLETE_REHEARSAL_FIRST
PMAI-P0-04-RR-V3-IMPL-AUTH-GNG-023,P0-04 execution,separate authority,false,HOLD,REQUEST_SEPARATE_AUTHORIZATION
PMAI-P0-04-RR-V3-IMPL-AUTH-GNG-024,staging 0010 apply,separate authority,false,HOLD,REQUEST_SEPARATE_AUTHORIZATION
PMAI-P0-04-RR-V3-IMPL-AUTH-GNG-025,post-effective implementation identity,91b9ba1da8cc290fd94a17b4c57c673be0a805ae25f1ddb0ace69922ff9e2081,91b9ba1da8cc290fd94a17b4c57c673be0a805ae25f1ddb0ace69922ff9e2081,PASS,HOLD
PMAI-P0-04-RR-V3-IMPL-AUTH-GNG-026,candidate promotion,false,false,PASS,HOLD
PMAI-P0-04-RR-V3-IMPL-AUTH-GNG-027,authorization reuse,false,false,PASS,HOLD
PMAI-P0-04-RR-V3-IMPL-AUTH-GNG-028,sole next subject,FRESH_DISPOSABLE_TARGET_PROVISIONING_AUTHORIZATION_PREPARATION_V3,FRESH_DISPOSABLE_TARGET_PROVISIONING_AUTHORIZATION_PREPARATION_V3,PASS,HOLD
