controlled_pilot_id,species_group,review_domain,execution_readiness_reference,source_collection_protocol_reference,source_registry_reference,evidence_table_reference,pilot_scope,pilot_batch_status,collector_assignment_status,second_reviewer_status,source_access_status,copyright_access_status,workspace_status,allowed_capture,prohibited_capture,dose_output_enabled,route_or_frequency_capture_enabled,stores_usable_medication_instruction,pilot_execution_allowed_now,go_no_go
pilot-rabbit-analgesia-and-pain-control-source-review,rabbit,analgesia_and_pain_control_source_review,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_COLLECTION_EXECUTION_READINESS_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_COLLECTION_PROTOCOL_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_REGISTRY_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_EVIDENCE_TABLES_V1,manual_metadata_only_source_collection_shell,planned_not_started,required_before_start,required_before_start,required_before_start,required_before_start,metadata_only_workspace_required_before_start,source_metadata_species_applicability_indication_category_contraindication_theme_monitoring_theme_conflict_note,numeric_dose_value_dose_unit_route_text_frequency_text_duration_text_prescription_direction_treatment_protocol_client_instruction_copied_table_text_copyrighted_full_text,false,false,false,false,NO_GO_FOR_REAL_COLLECTION_UNTIL_REVIEWERS_ACCESS_WORKSPACE_AND_COPYRIGHT_ARE_APPROVED
pilot-rabbit-antimicrobial-source-review,rabbit,antimicrobial_source_review,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_COLLECTION_EXECUTION_READINESS_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_COLLECTION_PROTOCOL_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_REGISTRY_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_EVIDENCE_TABLES_V1,manual_metadata_only_source_collection_shell,planned_not_started,required_before_start,required_before_start,required_before_start,required_before_start,metadata_only_workspace_required_before_start,source_metadata_species_applicability_indication_category_contraindication_theme_monitoring_theme_conflict_note,numeric_dose_value_dose_unit_route_text_frequency_text_duration_text_prescription_direction_treatment_protocol_client_instruction_copied_table_text_copyrighted_full_text,false,false,false,false,NO_GO_FOR_REAL_COLLECTION_UNTIL_REVIEWERS_ACCESS_WORKSPACE_AND_COPYRIGHT_ARE_APPROVED
pilot-rabbit-antiparasitic-source-review,rabbit,antiparasitic_source_review,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_COLLECTION_EXECUTION_READINESS_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_COLLECTION_PROTOCOL_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_REGISTRY_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_EVIDENCE_TABLES_V1,manual_metadata_only_source_collection_shell,planned_not_started,required_before_start,required_before_start,required_before_start,required_before_start,metadata_only_workspace_required_before_start,source_metadata_species_applicability_indication_category_contraindication_theme_monitoring_theme_conflict_note,numeric_dose_value_dose_unit_route_text_frequency_text_duration_text_prescription_direction_treatment_protocol_client_instruction_copied_table_text_copyrighted_full_text,false,false,false,false,NO_GO_FOR_REAL_COLLECTION_UNTIL_REVIEWERS_ACCESS_WORKSPACE_AND_COPYRIGHT_ARE_APPROVED
pilot-rabbit-fluid-and-supportive-care-source-review,rabbit,fluid_and_supportive_care_source_review,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_COLLECTION_EXECUTION_READINESS_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_COLLECTION_PROTOCOL_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_REGISTRY_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_EVIDENCE_TABLES_V1,manual_metadata_only_source_collection_shell,planned_not_started,required_before_start,required_before_start,required_before_start,required_before_start,metadata_only_workspace_required_before_start,source_metadata_species_applicability_indication_category_contraindication_theme_monitoring_theme_conflict_note,numeric_dose_value_dose_unit_route_text_frequency_text_duration_text_prescription_direction_treatment_protocol_client_instruction_copied_table_text_copyrighted_full_text,false,false,false,false,NO_GO_FOR_REAL_COLLECTION_UNTIL_REVIEWERS_ACCESS_WORKSPACE_AND_COPYRIGHT_ARE_APPROVED
pilot-rabbit-sedation-anesthesia-risk-source-review,rabbit,sedation_anesthesia_risk_source_review,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_COLLECTION_EXECUTION_READINESS_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_COLLECTION_PROTOCOL_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_REGISTRY_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_EVIDENCE_TABLES_V1,manual_metadata_only_source_collection_shell,planned_not_started,required_before_start,required_before_start,required_before_start,required_before_start,metadata_only_workspace_required_before_start,source_metadata_species_applicability_indication_category_contraindication_theme_monitoring_theme_conflict_note,numeric_dose_value_dose_unit_route_text_frequency_text_duration_text_prescription_direction_treatment_protocol_client_instruction_copied_table_text_copyrighted_full_text,false,false,false,false,NO_GO_FOR_REAL_COLLECTION_UNTIL_REVIEWERS_ACCESS_WORKSPACE_AND_COPYRIGHT_ARE_APPROVED
pilot-rabbit-emergency-stabilization-source-review,rabbit,emergency_stabilization_source_review,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_COLLECTION_EXECUTION_READINESS_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_COLLECTION_PROTOCOL_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_REGISTRY_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_EVIDENCE_TABLES_V1,manual_metadata_only_source_collection_shell,planned_not_started,required_before_start,required_before_start,required_before_start,required_before_start,metadata_only_workspace_required_before_start,source_metadata_species_applicability_indication_category_contraindication_theme_monitoring_theme_conflict_note,numeric_dose_value_dose_unit_route_text_frequency_text_duration_text_prescription_direction_treatment_protocol_client_instruction_copied_table_text_copyrighted_full_text,false,false,false,false,NO_GO_FOR_REAL_COLLECTION_UNTIL_REVIEWERS_ACCESS_WORKSPACE_AND_COPYRIGHT_ARE_APPROVED
pilot-bird-analgesia-and-pain-control-source-review,bird,analgesia_and_pain_control_source_review,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_COLLECTION_EXECUTION_READINESS_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_COLLECTION_PROTOCOL_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_REGISTRY_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_EVIDENCE_TABLES_V1,manual_metadata_only_source_collection_shell,planned_not_started,required_before_start,required_before_start,required_before_start,required_before_start,metadata_only_workspace_required_before_start,source_metadata_species_applicability_indication_category_contraindication_theme_monitoring_theme_conflict_note,numeric_dose_value_dose_unit_route_text_frequency_text_duration_text_prescription_direction_treatment_protocol_client_instruction_copied_table_text_copyrighted_full_text,false,false,false,false,NO_GO_FOR_REAL_COLLECTION_UNTIL_REVIEWERS_ACCESS_WORKSPACE_AND_COPYRIGHT_ARE_APPROVED
pilot-bird-antimicrobial-source-review,bird,antimicrobial_source_review,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_COLLECTION_EXECUTION_READINESS_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_COLLECTION_PROTOCOL_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_REGISTRY_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_EVIDENCE_TABLES_V1,manual_metadata_only_source_collection_shell,planned_not_started,required_before_start,required_before_start,required_before_start,required_before_start,metadata_only_workspace_required_before_start,source_metadata_species_applicability_indication_category_contraindication_theme_monitoring_theme_conflict_note,numeric_dose_value_dose_unit_route_text_frequency_text_duration_text_prescription_direction_treatment_protocol_client_instruction_copied_table_text_copyrighted_full_text,false,false,false,false,NO_GO_FOR_REAL_COLLECTION_UNTIL_REVIEWERS_ACCESS_WORKSPACE_AND_COPYRIGHT_ARE_APPROVED
pilot-bird-antiparasitic-source-review,bird,antiparasitic_source_review,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_COLLECTION_EXECUTION_READINESS_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_COLLECTION_PROTOCOL_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_REGISTRY_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_EVIDENCE_TABLES_V1,manual_metadata_only_source_collection_shell,planned_not_started,required_before_start,required_before_start,required_before_start,required_before_start,metadata_only_workspace_required_before_start,source_metadata_species_applicability_indication_category_contraindication_theme_monitoring_theme_conflict_note,numeric_dose_value_dose_unit_route_text_frequency_text_duration_text_prescription_direction_treatment_protocol_client_instruction_copied_table_text_copyrighted_full_text,false,false,false,false,NO_GO_FOR_REAL_COLLECTION_UNTIL_REVIEWERS_ACCESS_WORKSPACE_AND_COPYRIGHT_ARE_APPROVED
pilot-bird-fluid-and-supportive-care-source-review,bird,fluid_and_supportive_care_source_review,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_COLLECTION_EXECUTION_READINESS_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_COLLECTION_PROTOCOL_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_REGISTRY_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_EVIDENCE_TABLES_V1,manual_metadata_only_source_collection_shell,planned_not_started,required_before_start,required_before_start,required_before_start,required_before_start,metadata_only_workspace_required_before_start,source_metadata_species_applicability_indication_category_contraindication_theme_monitoring_theme_conflict_note,numeric_dose_value_dose_unit_route_text_frequency_text_duration_text_prescription_direction_treatment_protocol_client_instruction_copied_table_text_copyrighted_full_text,false,false,false,false,NO_GO_FOR_REAL_COLLECTION_UNTIL_REVIEWERS_ACCESS_WORKSPACE_AND_COPYRIGHT_ARE_APPROVED
