control_id,control,expected,current,status,evidence,on_failure
PMAI-P0-04-RR-V3-AUTH-CHK-001,stage_id,PMAI-P0-04,PMAI-P0-04,PASS,authorization review document,HOLD
PMAI-P0-04-RR-V3-AUTH-CHK-002,substage,RESTORE_RUNNER_V3_AUTHORIZATION_REVIEW_V1,RESTORE_RUNNER_V3_AUTHORIZATION_REVIEW_V1,PASS,authorization review document,HOLD
PMAI-P0-04-RR-V3-AUTH-CHK-003,entry commit,190de64deac0eef19c9ffcaafc8ecbdcc12f7278,190de64deac0eef19c9ffcaafc8ecbdcc12f7278,PASS,published baseline,HOLD
PMAI-P0-04-RR-V3-AUTH-CHK-004,entry parent,959b15b2ea15f31f19564d553207ce31a31561ce,959b15b2ea15f31f19564d553207ce31a31561ce,PASS,published baseline,HOLD
PMAI-P0-04-RR-V3-AUTH-CHK-005,CI Gate 205,PASS,PASS,PASS,operator screenshot,HOLD
PMAI-P0-04-RR-V3-AUTH-CHK-006,repository clean at entry,true,true,PASS,operator publication output,HOLD
PMAI-P0-04-RR-V3-AUTH-CHK-007,isolated local ref,8d1dc8814ed8f80d8bc965b494c1c320fc08f228,8d1dc8814ed8f80d8bc965b494c1c320fc08f228,PASS,published baseline,HOLD
PMAI-P0-04-RR-V3-AUTH-CHK-008,isolated remote ref,8d1dc8814ed8f80d8bc965b494c1c320fc08f228,8d1dc8814ed8f80d8bc965b494c1c320fc08f228,PASS,published baseline,HOLD
PMAI-P0-04-RR-V3-AUTH-CHK-009,Route C retained,true,true,PASS,authorization review document,HOLD
PMAI-P0-04-RR-V3-AUTH-CHK-010,runner design preparation complete,true,true,PASS,published design package,HOLD
PMAI-P0-04-RR-V3-AUTH-CHK-011,inert design candidate hash,98d6cd0a1f01c551d6f43bae484842ff75163f5a3ea1fb0c600ef85167c0c31b,98d6cd0a1f01c551d6f43bae484842ff75163f5a3ea1fb0c600ef85167c0c31b,PASS,repository candidate,HOLD
PMAI-P0-04-RR-V3-AUTH-CHK-012,inert candidate suffix,.py.txt,.py.txt,PASS,repository candidate,HOLD
PMAI-P0-04-RR-V3-AUTH-CHK-013,inert candidate AST valid,true,true,PASS,static validator,HOLD
