control_id,control,expected,current,status,evidence_source,stop_if
PMAI-P0-04-DTPA-001,repository_only,true,true,PASS,package,not true
PMAI-P0-04-DTPA-002,network_access,false,false,PASS,package,true
PMAI-P0-04-DTPA-003,database_connection,false,false,PASS,package,true
PMAI-P0-04-DTPA-004,database_write,false,false,PASS,package,true
PMAI-P0-04-DTPA-005,restore_execution,false,false,PASS,package,true
PMAI-P0-04-DTPA-006,pg_restore_invoked,false,false,PASS,package,true
PMAI-P0-04-DTPA-007,psql_invoked,false,false,PASS,package,true
PMAI-P0-04-DTPA-008,alembic_invoked,false,false,PASS,package,true
PMAI-P0-04-DTPA-009,migration_created,false,false,PASS,package,true
PMAI-P0-04-DTPA-010,migration_executed,false,false,PASS,package,true
PMAI-P0-04-DTPA-011,restore_runner_created,false,false,PASS,package,true
PMAI-P0-04-DTPA-012,active_0010_migration_file_created,false,false,PASS,repository_scan,true
PMAI-P0-04-DTPA-013,disposable_restore_target_provisioning_authorized,false,false,PASS,go_no_go,true
PMAI-P0-04-DTPA-014,disposable_restore_execution_authorized,false,false,PASS,go_no_go,true
PMAI-P0-04-DTPA-015,p0_04_execution_authorized,false,false,PASS,go_no_go,true
PMAI-P0-04-DTPA-016,staging_0010_apply_authorized,false,false,PASS,go_no_go,true
PMAI-P0-04-DTPA-017,production_migration_authorized,false,false,PASS,go_no_go,true
PMAI-P0-04-DTPA-018,locked_runner_sha256,c50002898763c0b7e6aa618d2728f8595496c5c4bb57e300aedbc4d59bbde23f,c50002898763c0b7e6aa618d2728f8595496c5c4bb57e300aedbc4d59bbde23f,PASS,repository_hash,mismatch
PMAI-P0-04-DTPA-019,production_database_revision,0009_diag_data,0009_diag_data,BASELINE_ONLY,operator_handoff,drift
PMAI-P0-04-DTPA-020,staging_database_revision,0009_diag_data,0009_diag_data,BASELINE_ONLY,operator_handoff,drift
PMAI-P0-04-DTPA-021,target_identity_recorded,required_before_authorization,pending,HOLD,future_sanitized_evidence,missing
PMAI-P0-04-DTPA-022,version_compatibility_review,required_before_authorization,pending,HOLD,future_sanitized_evidence,missing_or_incompatible
PMAI-P0-04-DTPA-023,expiry_and_deletion_owner,required_before_authorization,pending,HOLD,future_sanitized_evidence,missing
PMAI-P0-04-DTPA-024,credential_handling_review,required_before_authorization,pending,HOLD,future_sanitized_evidence,missing_or_secret_exposed
PMAI-P0-04-DTPA-025,separate_authorization_review,required,not_started,HOLD,future_review,not_approved
PMAI-P0-04-DTPA-026,protected_hash_rollover_required,true,true,PASS,ci_failure_and_prior_validator_static_review,false_or_missing
PMAI-P0-04-DTPA-027,prior_ci_sha256,27579b1d054a50223f76590c15bf310c4cc950341d1018e89c54a4849f62d0c2,27579b1d054a50223f76590c15bf310c4cc950341d1018e89c54a4849f62d0c2,PASS,HEAD_blob_and_prior_HASHES,mismatch
PMAI-P0-04-DTPA-028,pre_rollover_ci_sha256,9d07238bc0831d43c1b4ee7dfea73d2a92016eca68af4f5bdb210032ab071d50,9d07238bc0831d43c1b4ee7dfea73d2a92016eca68af4f5bdb210032ab071d50,PASS,reviewed_six_file_worktree,mismatch
PMAI-P0-04-DTPA-029,post_rollover_ci_sha256,8068312d6aa24e667f344b3eea9082f0a9b3688bc664dee0984d3e3dd251f25c,8068312d6aa24e667f344b3eea9082f0a9b3688bc664dee0984d3e3dd251f25c,PASS,deterministic_rollover_bundle,mismatch
PMAI-P0-04-DTPA-030,protected_hash_scope_extended,true,true,PASS,prior_validator_TARGETS_HASHES,false_or_missing
PMAI-P0-04-DTPA-031,protected_hash_rollover_complete,true,true,PASS,validator_and_ci_static_gate,false_or_missing
