phase,item,owner,command_or_action,expected_result,required,evidence_location,status,notes
preflight,Confirm repository root,developer,pwd,/Users/zhaohaisheng/Documents/Pet-med-ai,yes,terminal,,
preflight,Confirm target files only,developer,git status --short -- <target files>,Only intended files listed,yes,terminal,,
preflight,Run release readiness,developer,python3 scripts/validate_release_readiness.py,OK release readiness,yes,terminal,,
preflight,Check Alembic revision id length,developer,python3 scripts/validate_release_readiness.py,All revision ids <=32 chars,yes,terminal,,
build,Backend py_compile,developer,python3 -m py_compile <changed py files>,No syntax errors,conditional,terminal,,
build,Frontend build,developer,cd frontend && npm run build,Build succeeds,conditional,terminal,,
database,Local alembic current,developer,cd backend && python3 -m alembic -c alembic.ini current,Expected current revision,conditional,terminal,,
database,Local alembic upgrade,developer,python3 -m alembic -c alembic.ini upgrade head,Upgrade succeeds,conditional,terminal,,
database,Local alembic after current,developer,python3 -m alembic -c alembic.ini current,Head revision shown,conditional,terminal,,
smoke,Local smoke,developer,BASE_URL=http://127.0.0.1:8000 bash scripts/smoke_petmed.sh,ALL PASS,conditional,terminal,,
git,Commit target files only,developer,git add <target files>,No unrelated files added,yes,git status,,
git,Push to main,developer,git push origin main,Push succeeds,yes,terminal,,
render,Backend health,developer,curl -sS https://pet-med-ai-backend.onrender.com/healthz,{"ok":true},conditional,terminal,,
render,Render alembic current,developer,python3 -m alembic -c alembic.ini current,Expected pre-upgrade revision,conditional,Render shell,,
render,Render alembic upgrade,developer,python3 -m alembic -c alembic.ini upgrade head,Upgrade succeeds,conditional,Render shell,,
render,Render alembic after current,developer,python3 -m alembic -c alembic.ini current,Head revision shown,conditional,Render shell,,
smoke,Online smoke,developer,BASE_URL=https://pet-med-ai-backend.onrender.com bash scripts/smoke_petmed.sh,ALL PASS,conditional,terminal,,
manual,Frontend page check,developer,Open changed route in browser,Page loads and key behavior works,conditional,browser,,
closeout,Record release result,developer,Update stage status in chat/notes,Stage marked complete,yes,notes,,
