check_id,category,question,expected_answer,go_if,owner,status,notes
NG-001,feature_flags,Is ENABLE_EMR_REAL_IMPORT explicitly controlled?,yes,yes,developer,,
NG-002,feature_flags,Is ENABLE_EMR_IMPORT_CASE_UPDATE false?,yes,yes,developer,,
NG-003,feature_flags,Is ENABLE_EMR_ATTACHMENT_DOWNLOAD false?,yes,yes,developer,,
NG-004,feature_flags,Is ENABLE_PRESCRIPTION_STRUCTURED_WRITE false?,yes,yes,clinical_owner,,
NG-005,batch,Is batch status approved or clinical_signed?,yes,yes,operator,,
NG-006,batch,Is receipt_count within pilot limit?,yes,yes,operator,,
NG-007,dry_run,Did execution dry-run quality_gate pass?,yes,yes,operator,,
NG-008,dry_run,Are all operations case_create_preview only?,yes,yes,developer,,
NG-009,dry_run,Are blocked_items empty?,yes,yes,developer,,
NG-010,rollback,Is rollback_snapshot_id verified?,yes,yes,rollback_owner,,
NG-011,rollback,Was rollback rehearsal completed?,yes,yes,rollback_owner,,
NG-012,audit,Is audit_log write plan defined?,yes,yes,developer,,
NG-013,result_model,Are execution result tables available?,yes,yes,developer,,
NG-014,duplicate,Is duplicate protection implemented?,yes,yes,developer,,
NG-015,smoke,Did smoke pass before execution?,yes,yes,operator,,
NG-016,spot_check,Is 100% clinical spot-check assigned?,yes,yes,clinical_owner,,
NG-017,case_update,Does implementation contain any Case update path?,no,yes,developer,,
NG-018,case_delete,Does implementation contain any Case delete path?,no,yes,developer,,
NG-019,attachments,Does implementation download attachments?,no,yes,developer,,
NG-020,billing,Does implementation write billing?,no,yes,ops_owner,,
