step_number,phase,owner,action,command_or_location,expected_result,stop_if_failed,evidence,status,notes
1,preflight,developer,Pull latest code,git pull origin main,latest main,yes,terminal,,
2,preflight,developer,Run static CI locally,bash scripts/ci_static_checks.sh,CI static checks PASS,yes,terminal,,
3,preflight,operator,Check online version,/api/system/version,schema_ok true,yes,terminal,,
4,preflight,operator,Check feature flags,/api/system/feature-flags,all dangerous flags disabled,yes,terminal,,
5,preflight,operator,Run online smoke,BASE_URL online smoke,ALL PASS,yes,terminal,,
6,receipt,operator,Send signed dry-run webhook,cURL template,receipt_id returned,yes,API response,,
7,review,clinical_owner,Review receipt as ready_for_import,/webhooks/emr/inbox,status ready_for_import,yes,UI screenshot,,
8,batch,operator,Create pilot0 rehearsal batch,/emr/import-batches,one receipt frozen batch,yes,batch detail,,
9,dry_run,operator,Run execution dry-run,execution-dry-run API,quality_gate passed,yes,API response,,
10,approval,clinical_owner,Submit clinical approval,clinical approval API/UI,status approved,yes,API response,,
11,safety,operator,Call execute while flag disabled,POST /execute,HTTP 403 feature flag disabled,yes,API response,,
12,post,operator,Run online smoke after rehearsal,BASE_URL online smoke,ALL PASS,yes,terminal,,
13,closeout,release_owner,Complete evidence template,CSV,ids and results recorded,yes,CSV,,
14,closeout,clinical_owner,Record Go No-Go decision,CSV,decision recorded,yes,CSV,,
