gate_id,gate,expected,current,status,decision_if_failed
PMAI-P0-04-ARR-V3-CAP-G01,entry_commit_exact,b13a790b9f1803a52e51598523c17779a4a7397a,b13a790b9f1803a52e51598523c17779a4a7397a,PASS,HOLD
PMAI-P0-04-ARR-V3-CAP-G02,github_ci_gate_212_pass,true,true,PASS,HOLD
PMAI-P0-04-ARR-V3-CAP-G03,implementation_candidate_hash_exact,true,true,PASS,HOLD
PMAI-P0-04-ARR-V3-CAP-G04,target_contract_hash_exact,true,true,PASS,HOLD
PMAI-P0-04-ARR-V3-CAP-G05,target_status_available_from_published_evidence,true,true,PASS,HOLD
PMAI-P0-04-ARR-V3-CAP-G06,active_runner_path_absent,true,true,PASS,HOLD
PMAI-P0-04-ARR-V3-CAP-G07,active_0010_migration_absent,true,true,PASS,HOLD
PMAI-P0-04-ARR-V3-CAP-G08,all_runtime_bindings_reviewed,false,false,HOLD,SEPARATE_AUTHORIZATION_REVIEW_REQUIRED
PMAI-P0-04-ARR-V3-CAP-G09,active_runner_creation_authorized,false,false,HOLD,SEPARATE_AUTHORIZATION_REVIEW_REQUIRED
PMAI-P0-04-ARR-V3-CAP-G10,runner_activation_authorized,false,false,HOLD,SEPARATE_AUTHORIZATION_REVIEW_REQUIRED
PMAI-P0-04-ARR-V3-CAP-G11,one_time_restore_execution_authorized,false,false,HOLD,SEPARATE_EXECUTION_AUTHORIZATION_REQUIRED
PMAI-P0-04-ARR-V3-CAP-G12,archive_access_authorized,false,false,HOLD,SEPARATE_EXECUTION_AUTHORIZATION_REQUIRED
PMAI-P0-04-ARR-V3-CAP-G13,credential_collection_authorized,false,false,HOLD,SEPARATE_EXECUTION_AUTHORIZATION_REQUIRED
PMAI-P0-04-ARR-V3-CAP-G14,database_connection_authorized,false,false,HOLD,SEPARATE_EXECUTION_AUTHORIZATION_REQUIRED
PMAI-P0-04-ARR-V3-CAP-G15,restore_execution_authorized,false,false,HOLD,SEPARATE_EXECUTION_AUTHORIZATION_REQUIRED
PMAI-P0-04-ARR-V3-CAP-G16,target_deletion_authorized,false,false,HOLD,SEPARATE_RETIREMENT_AUTHORIZATION_REQUIRED
PMAI-P0-04-ARR-V3-CAP-G17,repository_preparation_ready,true,true,PASS,GO_TO_SEPARATE_AUTHORIZATION_REVIEW
