execution_readiness_id,species_group,review_domain,source_collection_protocol_reference,source_registry_reference,evidence_table_reference,collector_assignment_status,second_reviewer_status,source_access_status,copyright_access_status,workspace_status,deidentification_required,value_capture_policy,dose_output_enabled,route_or_frequency_capture_enabled,collection_execution_status,go_no_go
exec-ready-rabbit-analgesia-and-pain-control-source-review,rabbit,analgesia_and_pain_control_source_review,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_COLLECTION_PROTOCOL_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_REGISTRY_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_EVIDENCE_TABLES_V1,required_not_assigned,required_not_assigned,required_not_verified,required_not_verified,required_not_created,true,metadata_only_no_medication_values,false,false,not_started,NO_GO_FOR_COLLECTION_EXECUTION_UNTIL_REVIEWERS_ACCESS_AND_WORKSPACE_ARE_APPROVED
exec-ready-rabbit-antimicrobial-source-review,rabbit,antimicrobial_source_review,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_COLLECTION_PROTOCOL_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_REGISTRY_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_EVIDENCE_TABLES_V1,required_not_assigned,required_not_assigned,required_not_verified,required_not_verified,required_not_created,true,metadata_only_no_medication_values,false,false,not_started,NO_GO_FOR_COLLECTION_EXECUTION_UNTIL_REVIEWERS_ACCESS_AND_WORKSPACE_ARE_APPROVED
exec-ready-rabbit-antiparasitic-source-review,rabbit,antiparasitic_source_review,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_COLLECTION_PROTOCOL_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_REGISTRY_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_EVIDENCE_TABLES_V1,required_not_assigned,required_not_assigned,required_not_verified,required_not_verified,required_not_created,true,metadata_only_no_medication_values,false,false,not_started,NO_GO_FOR_COLLECTION_EXECUTION_UNTIL_REVIEWERS_ACCESS_AND_WORKSPACE_ARE_APPROVED
exec-ready-rabbit-fluid-and-supportive-care-source-review,rabbit,fluid_and_supportive_care_source_review,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_COLLECTION_PROTOCOL_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_REGISTRY_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_EVIDENCE_TABLES_V1,required_not_assigned,required_not_assigned,required_not_verified,required_not_verified,required_not_created,true,metadata_only_no_medication_values,false,false,not_started,NO_GO_FOR_COLLECTION_EXECUTION_UNTIL_REVIEWERS_ACCESS_AND_WORKSPACE_ARE_APPROVED
exec-ready-rabbit-sedation-anesthesia-risk-source-review,rabbit,sedation_anesthesia_risk_source_review,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_COLLECTION_PROTOCOL_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_REGISTRY_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_EVIDENCE_TABLES_V1,required_not_assigned,required_not_assigned,required_not_verified,required_not_verified,required_not_created,true,metadata_only_no_medication_values,false,false,not_started,NO_GO_FOR_COLLECTION_EXECUTION_UNTIL_REVIEWERS_ACCESS_AND_WORKSPACE_ARE_APPROVED
exec-ready-rabbit-emergency-stabilization-source-review,rabbit,emergency_stabilization_source_review,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_COLLECTION_PROTOCOL_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_REGISTRY_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_EVIDENCE_TABLES_V1,required_not_assigned,required_not_assigned,required_not_verified,required_not_verified,required_not_created,true,metadata_only_no_medication_values,false,false,not_started,NO_GO_FOR_COLLECTION_EXECUTION_UNTIL_REVIEWERS_ACCESS_AND_WORKSPACE_ARE_APPROVED
exec-ready-bird-analgesia-and-pain-control-source-review,bird,analgesia_and_pain_control_source_review,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_COLLECTION_PROTOCOL_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_REGISTRY_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_EVIDENCE_TABLES_V1,required_not_assigned,required_not_assigned,required_not_verified,required_not_verified,required_not_created,true,metadata_only_no_medication_values,false,false,not_started,NO_GO_FOR_COLLECTION_EXECUTION_UNTIL_REVIEWERS_ACCESS_AND_WORKSPACE_ARE_APPROVED
exec-ready-bird-antimicrobial-source-review,bird,antimicrobial_source_review,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_COLLECTION_PROTOCOL_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_REGISTRY_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_EVIDENCE_TABLES_V1,required_not_assigned,required_not_assigned,required_not_verified,required_not_verified,required_not_created,true,metadata_only_no_medication_values,false,false,not_started,NO_GO_FOR_COLLECTION_EXECUTION_UNTIL_REVIEWERS_ACCESS_AND_WORKSPACE_ARE_APPROVED
exec-ready-bird-antiparasitic-source-review,bird,antiparasitic_source_review,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_COLLECTION_PROTOCOL_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_REGISTRY_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_EVIDENCE_TABLES_V1,required_not_assigned,required_not_assigned,required_not_verified,required_not_verified,required_not_created,true,metadata_only_no_medication_values,false,false,not_started,NO_GO_FOR_COLLECTION_EXECUTION_UNTIL_REVIEWERS_ACCESS_AND_WORKSPACE_ARE_APPROVED
exec-ready-bird-fluid-and-supportive-care-source-review,bird,fluid_and_supportive_care_source_review,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_COLLECTION_PROTOCOL_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_REGISTRY_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_EVIDENCE_TABLES_V1,required_not_assigned,required_not_assigned,required_not_verified,required_not_verified,required_not_created,true,metadata_only_no_medication_values,false,false,not_started,NO_GO_FOR_COLLECTION_EXECUTION_UNTIL_REVIEWERS_ACCESS_AND_WORKSPACE_ARE_APPROVED
