gate_id,gate,owner,evidence_source,required_result,hard_stop_if_failed,status,notes
ARD-G001,Monthly review completed,clinical_ops_owner,monthly review report,latest month PASS or IMPROVE,yes,,
ARD-G002,Weekly ops completion rate,front_desk_owner,monthly KPI scorecard,>=75%,yes,,
ARD-G003,Online smoke pass rate,developer,monthly KPI scorecard,100%,yes,,
ARD-G004,Schema alignment,operator,/api/system/version,database_revision equals alembic_head,yes,,
ARD-G005,Preventive migration,operator,/api/system/version,0007_preventive_care,yes,,
ARD-G006,No opt-out incident,clinical_ops_owner,monthly report,opt_out_incident_count=0,yes,,
ARD-G007,No external message incident,security_owner,monthly report,external_message_sent_count=0,yes,,
ARD-G008,No secret leak,security_owner,monthly report,secret_leak_count=0,yes,,
ARD-G009,Kill switch design,release_owner,design draft,ENABLE_PREVENTIVE_AUTO_DELIVERY=false default,yes,,
ARD-G010,Consent model,clinical_ops_owner,design draft,channel-specific consent present,yes,,
ARD-G011,Opt-out enforcement,clinical_ops_owner,design draft,opt-out checked before every send,yes,,
ARD-G012,Template approval,clinical_owner,template review,approved non-diagnostic wording,yes,,
ARD-G013,Quiet hours,front_desk_owner,design draft,send window defined,yes,,
ARD-G014,Rate limits,developer,design draft,daily weekly and global caps defined,yes,,
ARD-G015,Deduplication,developer,design draft,idempotency/cooldown defined,yes,,
ARD-G016,Delivery log model,developer,design draft,delivery audit fields defined,yes,,
ARD-G017,Provider credential plan,security_owner,security review,secrets not in repo/logs,yes,,
ARD-G018,Incident playbook,release_owner,playbook,P0 response defined,yes,,
ARD-G019,Pilot limit,release_owner,pilot plan,single channel small batch manual approval,yes,,
ARD-G020,Final risk decision,release_owner,risk review record,GO PAUSE or NO-GO,yes,,
